id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
492,BENZILPENICILINA PROCAÍNA,NCT02611765,Syphilis Response to Higher Penicillin Dosage: The 2.4 Versus 7.2 Study,Syphilis,"Benzathine penicillin G intramuscular 7.2 million units, Benzathine penicillin G intramuscular 2.4 million units",Treatment Success Defined as a Decrease in Rapid Plasma Reagin (RPR) Titer of >= 2 Dilutions (4-fold)
493,BENZILPENICILINA BENZATINA,NCT03637660,Phase 4 Comparative Trial of Benzathine Penicillin G for Treatment of Early Syphilis in Subjects With or Without HIV Infection,Syphilis,Benzathine Penicillin,"The Number of Participants With a Serological Response by Month 6., Categorical Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Socio-epidemiologic Characteristics at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Socio-epidemiologic Characterictics at Baseline Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Participant Baseline Demographics Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Participant Baseline Demographics Collected Via a Study-specific Questionnaire, The Number of Participants Who Receive All Assigned Doses Within the Assigned Visit Windows, The Number of Participants Who Report Jarisch-Herxheimer Reaction Manifestations, Number of Participants With Serological Response by Month 6 Among Participants With or Without HIV Infection, Number of Participants With Serological Response (Defined as Either a 4-fold or Greater Decline in Rapid Plasma Regain (RPR) Titer Compared to Baseline or Being Rapid Plasma Regain -Negative [Seroreversion]) by Month 12., Number of Participants With Serological Response by Month 12 Among Subjects With or Without HIV Infection, Categorical Descriptive Statistics of Sexual History at Week 1 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Week 2 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 1 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 3 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 6 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 9 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 12 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Week 1 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Week 2 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 1 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 3 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 6 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 9 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 12 Collected Via a Study-specific Questionnaire"
493,BENZILPENICILINA BENZATINA,NCT02611765,Syphilis Response to Higher Penicillin Dosage: The 2.4 Versus 7.2 Study,Syphilis,"Benzathine penicillin G intramuscular 7.2 million units, Benzathine penicillin G intramuscular 2.4 million units",Treatment Success Defined as a Decrease in Rapid Plasma Reagin (RPR) Titer of >= 2 Dilutions (4-fold)
494,CLORIDRATO DE CICLOBENZAPRINA,NCT04172831,A Study To Evaluate The Efficacy And Safety Of TNX-102 SL In Patients With Fibromyalgia,Fibromyalgia,"TNX-102 SL, Placebo SL Tablet","Change From Baseline to Week 14 in the Numerical Rating Scale (NRS) Weekly Average of Daily Self-reported Average Pain Severity Scores., Number of Patients With a Patient's Global Impression of Change (PGIC) Rating of ""Very Much Improved"" or ""Much Improved"", Change From Baseline to Week 14 in the Fibromyalgia Impact Questionnaire - Revised (FIQR) Symptoms Domain Score, Change From Baseline to Week 14 in the FIQR Function Domain Score, Change From Baseline to Week 14 in the Patient Reported Outcomes Measurement Information System (PROMIS) Score for Sleep Disturbance, Change From Baseline to Week 14 in the PROMIS Score for Fatigue, Change From Baseline to Week 14 in the Weekly Average of the Daily Diary Assessment of Sleep Quality"
494,CLORIDRATO DE CICLOBENZAPRINA,NCT01903265,BEdtime Sublingual TNX-102 SL as Fibromyalgia Intervention Therapy (BESTFIT),Primary Fibromyalgia,"TNX-102 SL 2.8mg, Placebo","Mean Change From Baseline in Weekly Average of Daily Pain Scores at Week 12, 30% Responder Analysis of IVRS NRS Pain Assessments at Week 12, Change From Baseline to Week 12 in PROMIS T-score for Sleep Disturbance, Patient Global Impression of Change (PGIC) Responder Status (""Very Much Improved"" or ""Much Improved"" vs All Other Categories) at Week 12, Change From Baseline to Week 12 in FIQ-R Total Score"
494,CLORIDRATO DE CICLOBENZAPRINA,NCT02814565,Cyclobenzaprine HCl Extended Release 15 mg Versus Placebo in Treatment of Cervical and/or Lower Back Pain Due to Muscle Spasms of Local Origin,"Neck Pain, Back Pain, Spasm","Cyclobenzaprine HCl, Placebo","Percentage of Participants With Subject's Rating of Medication Helpfulness Impression on Day 3 of Treatment, Percentage of Participants With Subject's Rating of Medication Helpfulness Impression on Days 7 and 14 of Treatment, Percentage of Participants With Physician's Clinical Global Assessment on Day 3 of Treatment, Percentage of Participants With Physician's Clinical Global Assessment on Days 7 and 15 of Treatment, Percentage of Participants With Subject-Rated Global Impression on Days 3, 7, and 14 of Treatment, Percentage of Responders on Days 3, 7, and 14 of Treatment, Percentage of Participants With Physician Rated Assessment of Presence of Muscle Spasm on Days 3, 7, and 15 of Treatment, Percentage of Participants With Physician Rated Assessment of Presence of Local Pain on Days 3, 7, and 15 of Treatment, Percentage of Participants With Physician Rated Assessment of Limitation of Range of Motion on Days 3, 7, and 15 of Treatment, Percentage of Participants With Physician Rated Assessment of Limitation of Activities of Daily Living on Days 3, 7, and 15 of Treatment"
494,CLORIDRATO DE CICLOBENZAPRINA,NCT01587274,A Randomized Study of Three Medication Regimens for Acute Low Back Pain,Acute Low Back Pain,"Naproxen, Cyclobenzaprine, Oxycodone/ acetaminophen",Change in Functional Disability as Measured by the Roland Morris Disability Questionnaire
496,BENZOATO DE BENZILA,NCT00439374,RCT of Progesterone to Prevent Preterm Birth in Nulliparous Women With a Short Cervix,"Preterm Delivery, Cervical Length","17 alpha-hydroxyprogesterone caproate, Placebo Oil","Number of Participants Delivering Before 37 Weeks Gestation, Mean Gestational Age at Delivery, Number of Participants With Preterm Premature Rupture of Membranes, Number of Participants Who Delivered Before 35 Weeks Gestation, Number of Participants Who Delivered Before 32 Weeks Gestation, Number of Participants Who Delivered Before 28 Weeks Gestation, Number of Participants Who Visited the Hospital Due to Preterm Labor, Number of Participants Who Underwent Tocolytic Therapy, Number of Participants Who Underwent Corticosteroid Therapy, Number of Participants Who Had a Cerclage Placement, Number of Participants Experiencing Gestational Hypertension or Preeclampsia, Number of Participants With Gestational Diabetes Mellitus, Number of Participants Experiencing Cholestasis, Number of Participants Who Experienced Placental Abruption, Number of Participants Who Experienced Chorioamnionitis, Number of Participants Who Had Cesarean Delivery, Number of Participants Who Reported Side Effects, Number of Participants Meeting the Composite Adverse Perinatal Outcome and Components, Mean Birth Weight, Birth Weight by Count of Participants, Number of Neonates Who Measured Small for Gestational Age, Number of Participants With Apgar Score of Less Than 7 at 5 Minutes, Number of Neonates With a Major Congenital Anomaly, Number of Neonates With Patent Ductus Arteriosus, Number of Neonates Experiencing Seizures, Number of Neonates Admitted to NICU, Median Length of NICU Stay"
496,BENZOATO DE BENZILA,NCT04205669,"Comparing the Effectiveness of Individual vs. Household Treatment for Scabies in Lambaréné, Gabon","Scabies, Households",Benzyl Benzoate 25% Topical Application Lotion,"Number of Participants With Clinical Cure, Proportion of Affected Household Members Per Household"
497,BENZOATO DE SODIO ASSOCIADO,NCT01948427,Observational Study That Will Collect Information on Patients With Urea Cycle Disorders (UCDs),Urea Cycle Disorder,,"Mean Blood Ammonia Levels Over Time, by Last Known Ammonia-Scavenging Medication, Median Blood Ammonia Levels Over Time, by Last-Known Ammonia-Scavenging Medication, Percentage of Participants With Hyperammonemic Crisis (HAC) by Baseline Ammonia-Scavenging Medication, Retrospective Values, Percentage of Participants With Hyperammonemic Crisis (HAC), Post-Baseline by Last Known Ammonia-Scavenging Medication, Number of Participants With Serious Adverse Events (SAEs)"
499,DEXPANTENOL,NCT03520348,Safety and Tolerability of the Ophthalmic Gel PRO-167 Versus Corneregel® on Healthy Subjects.,"Dry Eye, Dry Eye Syndrome of Unspecified Lacrimal Gland","PRO-167, Corneregel","Goblet Cell Density (GCD), Presence of Adverse Events (EAS), Intraocular Pressure (IOP), Breakup Time (BUT), Chemosis, Ocular Burning (OB), Epithelial Defects (ED), Conjunctival Hyperemia (CH), Foreign Body Sensation (FBS), Ocular Pruritus (P)"
500,PENICILINA G BENZATINA,NCT03637660,Phase 4 Comparative Trial of Benzathine Penicillin G for Treatment of Early Syphilis in Subjects With or Without HIV Infection,Syphilis,Benzathine Penicillin,"The Number of Participants With a Serological Response by Month 6., Categorical Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Baseline Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Socio-epidemiologic Characteristics at Baseline Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Socio-epidemiologic Characterictics at Baseline Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Participant Baseline Demographics Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Participant Baseline Demographics Collected Via a Study-specific Questionnaire, The Number of Participants Who Receive All Assigned Doses Within the Assigned Visit Windows, The Number of Participants Who Report Jarisch-Herxheimer Reaction Manifestations, Number of Participants With Serological Response by Month 6 Among Participants With or Without HIV Infection, Number of Participants With Serological Response (Defined as Either a 4-fold or Greater Decline in Rapid Plasma Regain (RPR) Titer Compared to Baseline or Being Rapid Plasma Regain -Negative [Seroreversion]) by Month 12., Number of Participants With Serological Response by Month 12 Among Subjects With or Without HIV Infection, Categorical Descriptive Statistics of Sexual History at Week 1 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Week 2 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 1 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 3 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 6 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 9 Collected Via a Study-specific Questionnaire, Categorical Descriptive Statistics of Sexual History at Month 12 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Week 1 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Week 2 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 1 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 3 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 6 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 9 Collected Via a Study-specific Questionnaire, Continuous Descriptive Statistics of Sexual History at Month 12 Collected Via a Study-specific Questionnaire"
500,PENICILINA G BENZATINA,NCT02058160,Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination Versus Insulin Glargine in Patients With Type 2 Diabetes,Type 2 Diabetes,"Insulin glargine/lixisenatide (HOE901/AVE0010), Insulin glargine (HOE901), Metformin (Background Drug)","Change in Glycated Hemoglobin (HbA1c) From Baseline to Week 30, Percentage of Participants With HbA1c <7.0% or ≤6.5% at Week 30, Change in 2-hour Plasma Blood Glucose Excursion From Baseline to Week 30, Change in Body Weight From Baseline to Week 30, Mean Change in 7-point Self-monitored Plasma Glucose (SMPG) Profile From Baseline to Week 30, Percentage of Participants Reaching HbA1c <7.0% With No Body Weight Gain at Week 30, Change in Daily Insulin Glargine Dose From Baseline to Week 30, Percentage of Participants Reaching HbA1c <7.0% With No Body Weight Gain at Week 30 and No Documented Symptomatic Hypoglycemia (Plasma Glucose [PG] ≤ 70 mg/dL [3.9 mmol/L]) During 30-Week Treatment Period, Change in FPG From Baseline to Week 30, Change in 2-hour PPG From Baseline to Week 30, Percentage of Participants Reaching HbA1c <7.0% With No Documented Symptomatic Hypoglycemia (PG ≤ 70 mg/dL [3.9 mmol/L]) During 30-Week Treatment Period, Percentage of Participants Requiring Rescue Therapy During 30-Week Treatment Period, Number of Documented Symptomatic Hypoglycemia Events Per Subject-Year, Percentage of Participants With Documented Symptomatic Hypoglycemia, Percentage of Participants With Severe Symptomatic Hypoglycemia"
500,PENICILINA G BENZATINA,NCT02611765,Syphilis Response to Higher Penicillin Dosage: The 2.4 Versus 7.2 Study,Syphilis,"Benzathine penicillin G intramuscular 7.2 million units, Benzathine penicillin G intramuscular 2.4 million units",Treatment Success Defined as a Decrease in Rapid Plasma Reagin (RPR) Titer of >= 2 Dilutions (4-fold)
501,CLORIDRATO DE BROMEXINA,NCT04405999,Prevention of Infection and Incidence of COVID-19 in Medical Personnel Assisting Patients With New Coronavirus Disease,Increased Risk of SARS-CoV-2 Infection,Bromhexine Hydrochloride,"Negative Polymerase Chain Reaction (PCR), Number of Participants With Asymptomatic SARS-CoV-2 Infection, Number of Participants With Mild, Moderate and Severe COVID-19 Disease, Number of Participants With Adverse Events"
505,APROTININA,NCT00576420,Fibrin Sealant Vascular Surgery Study,Adjunct to Hemostasis in Vascular Surgery (Synthetic Vascular Grafts),"FS VH S/D 500 s-apr, 60-seconds polymerization time, FS VH S/D 500 s-apr, 120-seconds polymerization time, Manual compression with surgical gauze pads","Percentage of Participants Achieving Hemostasis at 4 Minutes After Treatment Application at the Study Suture Line., 90% Confidence Interval for the Percentage of Participants Achieving Hemostasis at 4 Minutes After Treatment Application at the Suture Line, Hemostasis at 4 Minutes After Treatment Application at the Suture Line by Bleeding Severity - Moderate Bleeding, Percentage of Participants Achieving Hemostasis at 6 Minutes, Percentage of Participants Achieving Hemostasis at 10 Minutes, Percentage of Participants With Intraoperative Rebleeding After Hemostasis at the Study Suture Line, Percentage of Participants With Postoperative Rebleeding After Hemostasis at the Study Suture Line, Percentage of Participants With Any Transfusion Requirement, Percentage of Participants With Graft Occlusions, Percentage of Participants With Infections at the Surgical Site, Vital Signs: Systolic and Diastolic Blood Pressure - Preoperative Baseline, Percent Change in Vital Signs: Systolic and Diastolic Blood Pressure, Vital Signs: Heart Rate - Preoperative Baseline, Percent Change in Vital Signs: Heart Rate, Vital Signs: Respiratory Rate - Preoperative Baseline, Percent Change in Vital Signs: Respiratory Rate, Laboratory Values Over Time: Hemoglobin, Laboratory Values Over Time: Hematocrit, Laboratory Values Over Time: Erythrocytes, Laboratory Values Over Time: Leukocytes, Basophils, Eosinophils, Lymphocytes, Neutrophils, and Monocytes, Laboratory Values Over Time: Platelets, Laboratory Values Over Time: Creatinine, Bilirubin, and Blood Urea Nitrogen (BUN), Laboratory Values Over Time: Alanine Aminotransferase (ALT), Laboratory Values Over Time: Aspartate Aminotransferase (AST), Laboratory Values Over Time: Activated Partial Thromboplastin Time (aPTT), Laboratory Values Over Time: International Normalized Ratio (INR), Hemostasis at 4 Minutes After Treatment Application at the Suture Line by Bleeding Severity - Severe Bleeding"
505,APROTININA,NCT00892957,FS VH S/D 500 S-apr in Vascular Surgery,Hemostasis in Participants Receiving Peripheral Vascular Expanded Polytetrafluoroethylene (ePTFE) Graft Prostheses,"Fibrin Sealant, Vapor Heated, Solvent/Detergent-treated with 500 IU/ml thrombin and synthetic aprotinin (FS VH S/D 500 s-apr), Surgical gauze pads","Percentage of Participants Who Achieved Hemostasis at 4 Minutes Post Treatment Application., Percentage of Participants Who Achieved Hemostasis at 6 Minutes Post Treatment Application, Percentage of Participants Who Achieved Hemostasis at 10 Minutes Post Treatment Application, Percentage of Participants With Intraoperative Rebleeding After Hemostasis at Study Suture Line, Percentage of Participants With Postoperative Rebleeding, Percentage of Participants With Graft Occlusion, Percentage of Participants With Infection at the Surgical Site, Number of Participants With Infections by Grade, Vital Signs: Systolic and Diastolic Blood Pressure (BP)- Preoperative Baseline, Percent Change in Vital Signs: Systolic and Diastolic Blood Pressure, Vital Signs: Heart Rate - Preoperative Baseline, Percent Change in Vital Signs: Heart Rate, Vital Signs: Respiratory Rate - Preoperative Baseline, Percent Change in Vital Signs: Respiratory Rate, Laboratory Values Over Time: Hemoglobin, Laboratory Values Over Time: Hematocrit, Laboratory Values Over Time: Erythrocytes, Laboratory Values Over Time: Leukocytes, Basophils, Eosinophils, Lymphocytes, Neutrophils, and Monocytes, Laboratory Values Over Time: Platelets, Laboratory Values Over Time: Creatinine, Bilirubin, and Blood Urea Nitrogen (BUN), Laboratory Values Over Time: Alanine Aminotransferase (ALT), Laboratory Values Over Time: Aspartate Aminotransferase (AST), Laboratory Values Over Time: Activated Partial Thromboplastin Time (aPTT), Laboratory Values Over Time: International Normalized Ratio(INR), Hemostasis at 4 Minutes After Treatment Application at the Suture Line by Bleeding Severity - Moderate Bleeding, Hemostasis at 4 Minutes After Treatment Application at the Suture Line by Bleeding Severity - Severe Bleeding"
505,APROTININA,NCT01244425,Fibrin Sealant VH S/D 500 S-apr in Hepatic Resection,Bleeding (Oozing) in Hepatic Resection,"Fibrin Sealant (FS) VH S/D 500 s-apr, Manual compression","Percentage of Participants With Intraoperative Hemostasis at 4 Minutes After Treatment Application, Percentage of Participants With Intraoperative Hemostasis at 6 Minutes After Application of the Randomized Treatment, Percentage of Participants With Intraoperative Hemostasis at 8 Minutes After Application of the Randomized Treatment, Percentage of Participants With Intraoperative Hemostasis at 10 Minutes After Application of the Randomized Treatment, Percentage of Participants With Intraoperative Rebleeding After Occurrence of Hemostasis, Percentage of Participants With Postoperative Rebleeding, Percentage of Participants With Transfusion Requirements Until Discharged From Surgical Ward, Median Total Volume of Postoperative Drainage Fluid Within 48 Hours After Surgery"
505,APROTININA,NCT00681824,Fibrin Sealant for the Sealing of Dura Sutures,"Pathological Processes in the Posterior Fossa, Dura Defects","Fibrin Sealant, Vapor Heated, Solvent/Detergent-treated with 500 IU/mL thrombin and synthetic aprotinin (FS VH S/D 500 s-apr), Standard of care","Incidence of Cerebrospinal Fluid (CSF) Leakage Observed After Surgery, Incidence of Procedures Resulting From the Treatment of CSF Leaks, Number of Participants With Procedures Resulting From the Treatment of CSF Leaks, Number of Participants With Cerebrospinal Fluid (CSF) Leakage Observed After Surgery, Incidence of Surgical Site Infections (SSI) According to National Nosocomial Infection Surveillance (NNIS) Criteria, Number of Participants With Surgical Site Infections (SSI) According to National Nosocomial Infection Surveillance (NNIS) Criteria"
506,FATOR XIII,NCT00883090,A Study of the Use of Factor XIII Concentrate in Patients With Inherited FXIII Deficiency,Factor XIII Deficiency,FXIII Concentrate (Human),"Peak FXIII Concentration at Steady State, Trough FXIII Concentration at Steady State, Time to Peak Concentration, Incremental Recovery, Terminal Half-life, Area Under the Curve at Steady State, Clearance, Volume of Distribution at Steady State, Mean Residence Time, Adverse Events, Laboratory Safety Parameters, Vital Signs"
506,FATOR XIII,NCT00640289,Clinical Trial of Factor XIII (FXIII) Concentrate,"Hemophilia, Factor XIII Deficiency",Fibrogammin P,"Response to Treatment of Bleeding Events Requiring Additional Factor XIII Infusions, Surgical Efficacy Assessments With Factor XIII"
506,FATOR XIII,NCT00713648,Evaluation of Recombinant Factor XIII for Prevention of Bleeding in Patients With FXIII Inherited Deficiency,"Congenital Bleeding Disorder, Congenital FXIII Deficiency",catridecacog,"Rate (Number Per Subject Year) of Bleeding Episodes Requiring Treatment With a FXIII Containing Product During the Treatment Period, Percentage of Subjects Having a Normal Clot Solubility One Hour After rFXIII Administration and 28 Days After rFXIII Administration for All Dosing Visits, Level of FXIII Activity One Hour After rFXIII Administration and 28 Days After rFXIII Administration for All Dosing Visits, Number of Subjects With rFXIII Antibody Development"
506,FATOR XIII,NCT00914589,Multi-national Study Investigating the Effect and Safety of rFXIII on Transfusion Needs in Patients Undergoing Heart Surgery,"Acquired Bleeding Disorder, Cardiac Surgery Requiring Cardiopulmonary Bypass","catridecacog, catridecacog, placebo","Percentage of Subjects Avoiding Any Allogeneic Transfusions for Seven Days Post-operative or Until Discharge, Whichever Came First, Percentage of Subjects With Thromboembolic Events, Percentage of Subjects With rFXIII Antibody Reaction, Percentage of Subjects With Critical Adverse Events, Percentage of Subjects With Serious Adverse Events"
507,FATOR II DE COAGULAÇÃO,NCT01651780,"Open-label, Randomized Trial in Participants Undergoing TAVR to Determine Safety & Efficacy of Bivalirudin vs UFH","Severe Aortic Stenosis, Transcatheter Aortic Valve Replacement, Aortic Valve Replacement","Bivalirudin, Unfractionated Heparin","Major Bleeding (BARC ≥3b) at 48 Hours or Before Hospital Discharge, Net Adverse Clinical Events (NACE) at up to 30 Days, NACE at 48 Hours or Before Hospital Discharge, Major Adverse Cardiac Events (MACE) Including Death, Non-fatal MI, and Stroke, Major Bleeding According to Additional Scales (VARC, TIMI, GUSTO, ACUITY/HORIZONS), Transient Ischemic Attack, Acute Kidney Injury, Major Vascular Complications, Acquired Thrombocytopenia, New Onset Atrial Fibrillation/Flutter, Timing Effect on Bleeding Event Rate up to 48 Hours or Hospital Discharge, Bleeding BARC 3a, BARC Types 1 or 2, and TIMI Minor"
507,FATOR II DE COAGULAÇÃO,NCT03182829,In Vitro Diagnostic Test for DOAC in Urine,Anticoagulant Therapy,DOAC Dipstick,Accuracy of Factor Xa and Thrombin Inhibitors Pads of DOAC Dipstick From Urine Samples
509,FATOR X DE COAGULAÇÃO,NCT03921294,HemLibra Prophylaxis in Patients With Hemophilic Pseudotumor,Haemophilic Pseudotumour,Emicizumab,"Hemostatic Efficacy of Prophylactic Weekly Injections of Hemlibra (Emicizumab) Based on Hemoglobin, Hemostatic Efficacy of Prophylactic Weekly Injections of Hemlibra (Emicizumab) Based on Participants' Need for Blood Transfusions or Lack of, Breakthrough Bleeds, Pseudotumor Status, Patient Quality of Life Based on Haem-A-QOL, Patient Quality of Life Based on EQ-5D-5L, Adverse Events, Serious Adverse Events, Number of Participants With Adverse Events, Anti-Drug Antibodies (ADA), ADA and Activated Partial Thromboplastin Time (APTT), ADA and Factor VIII (FVIII), Planned or Unplanned Surgery, Hemostatic Agents in Surgery, Blood Loss in Surgery"
509,FATOR X DE COAGULAÇÃO,NCT00930176,A Study Investigating Treatment Factor X in People With Factor X Deficiency,Factor X Deficiency,Human Coagulation FACTOR X,"FX:C Incremental Recovery, FX:C Half-life"
509,FATOR X DE COAGULAÇÃO,NCT04233073,Trial of Andexanet in Patients Receiving an Oral FXa Inhibitor Who Require Urgent Surgery,Surgery,andexanet alfa,"Number of Participants Achieving Effective Hemostasis, Percent Change From Baseline In Anti-fXa Activity To Treatment Nadir"
511,PROTEÍNA S,NCT04372927,ADMIRAL Trial: Adaptive Mediastinal Radiation With Chemo-Immunotherapy,"Locally Advanced Lung Non-Small Cell Carcinoma, Stage III Lung Cancer AJCC v8, Stage IIIA Lung Cancer AJCC v8, Stage IIIB Lung Cancer AJCC v8, Stage IIIC Lung Cancer AJCC v8","Cisplatin, Durvalumab, Etoposide, Hypofractionated Radiation Therapy, Pemetrexed","1 Year Progression-free Survival Rate (PFS), Frequency and Severity of Pneumonitis, Overall Survival (OS), Response Rate, Frequency of Adverse Events"
511,PROTEÍNA S,NCT03386929,Survival Prolongation by Rationale Innovative Genomics,"Non-small Cell Lung Cancer Metastatic, Non-small Cell Lung Cancer Stage IIIB","Avelumab, Axitinib, Palbociclib","Incidence of the Tested 3-Drug Combination Therapy-Emergent Adverse Events and Serious Adverse Events, Response Rate (RR), Duration of the Response, Progression-Free Survival (PFS), Overall Survival (OS), SIMS Algorithm to Predict Clinical Outcome, Incidence of Treatment-related and or Biopsy-related Serious Adverse Events, Genomic and Transcriptomic Profile"
512,ACETATO DE CASPOFUNGINA,NCT00717860,A Clinical Study of MK0991 (Caspofungin) in Japanese Patients With Deep-seated Candida or Aspergillus Infections (0991-062)(COMPLETED),Fungal Infection,"caspofungin acetate, Comparator: Micafungin sodium","Number of Participants With a Significant Drug-related Adverse Experience, Number of Participants With a Specific Safety Finding, Number of Participants With Favorable Overall Response at the End of Study Therapy"
512,ACETATO DE CASPOFUNGINA,NCT01165320,A Study of Caspofungin (MK-0991) in Japanese Children and Adolescents With Documented Candida or Aspergillus Infections (MK-0991-074),"Candidiasis, Esophageal, Candidiasis, Invasive, Aspergillosis",Caspofungin,"Percentage of Participants With an Overall Favorable Response to Therapy, Percentage of Participants With One or More Drug-Related Adverse Experiences"
512,ACETATO DE CASPOFUNGINA,NCT00723073,Caspofungin or Micafungin as Empiric Antifungal Therapy for Persistent Fever and Neutropenia,Febrile Neutropenia,,"Composite Primary Endpoint: Number of Participants With an Overall Favorable Response to Echinocandin Therapy for Empiric Antifungal Therapy for Persistent Febrile Neutropenia (FN), Successful Treatment of Any Baseline Invasive Fungal Disease (IFD), Mortality at Hospital Discharge, Absence of Any Breakthrough Invasive Fungal Disease (IFD), Lack of an Adverse Drug Event (ADE) Attributable to Echinocandin (EC) Therapy That Led to Discontinuation of Therapy, Duration of Echinocadin Therapy for Persistent Febrile Neutropenia (FN), Liver Function Tests (LFTs) Elevated During or After Echinocandin Therapy, Specific Type of Adverse Event That Resulted in Echinocandin (EC) Therapy Discontinuation, Duration of Hospitization, Duration of Neutropenia"
512,ACETATO DE CASPOFUNGINA,NCT01062165,Effect of Weight and/or Obesity on Caspofungin Drug Concentrations,"Obesity, Fungal Infection",Caspofungin,Total Clearance of Caspofungin
514,CARISOPRODOL,NCT00671879,Study to Evaluate Two Formulations of Carisoprodol in Subjects With Musculoskeletal Spasm of the Lower Back,Lower Back Pain,"Carisoprodol SR 700 mg, Carisoprodol SR 500 mg, Placebo","Subject Rated Change Relief From Starting Backache of Pain on a 100-point Visual Analog Scale, Subject Functional Assessment Based on the Roland-Morris Disability Questionnaire (RMDQ)"
514,CARISOPRODOL,NCT00671502,A Study to Evaluate Two Formulations of Carisoprodol in Subjects With Musculoskeletal Spasm of the Lower Back,Lower Back Pain,"Carisoprodol SR, Carisoprodol SR, Placebo","Subject Rating of Pain on a 100-point Visual Analog Scale (VAS), Subject Functional Assessment Based on the Roland-Morris Disability Questionnaire (RMDQ), Adverse Event Assessment"
514,CARISOPRODOL,NCT04765202,StrataGraft Overlay of Meshed Autograft in Full-thickness Thermal Burns,Full Thickness Thermal Burn,"AG Tx, SOMA Tx","Number of Treatment Sites With Complete Wound Closure Without Additional Autografting at Month 2, Number of Participants With Durable Wound Closure of Study Treatment Sites Without Additional Autografting at Month 12"
516,ACETATO DE BETAMETASONA,NCT04900220,Differences in Flare Reaction Incidence and Intensity Following Trigger Finger Injections,Trigger Finger,"Betamethasone, Methylprednisolone","Incidence of Pain, Intensity of Pain, Incidence of Flare Reaction"
516,ACETATO DE BETAMETASONA,NCT00685880,Prolotherapy Versus Steroids for Thumb Carpo-metacarpal Joint Arthritis,Thumb Carpometacarpal Joint Osteoarthritis,"Prolotherapy (10% dextrose solution), Betamethasone",Number of Participants With a Decreased Pain Score >20%
