id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
1171,ACETATO DE NORETISTERONA,NCT03412890,LIBERTY EXTENSION: Efficacy and Safety Extension Study of Relugolix in Women With Heavy Menstrual Bleeding Associated With Uterine Fibroids,"Heavy Menstrual Bleeding, Uterine Fibroid","Relugolix, Estradiol/norethindrone acetate","Percentage Of Participants Who Achieved Or Maintained An MBL Volume Of <80 Milliliters (mL) And At Least A 50% Reduction From Baseline MBL Volume At Week 52/End Of Treatment, Change From Pivotal Study Baseline In MBL Volume At Week 52, Percentage Of Participants Who Achieved Or Maintained Amenorrhea Over The Last 35 Days Of Treatment, Percentage Of Participants With A Hemoglobin Level ≤10.5 Gram/Deciliter (g/dL) At Pivotal Study Baseline Who Achieved An Increase Of >2 g/dL From Pivotal Study Baseline At Week 52, Number Of Participants With Hemoglobin Increase Of ≥1 g/dL From Pivotal Study Baseline At Week 52 Among Those With A Hemoglobin Concentration Below Lower Limit Of Normal At Pivotal Baseline, Change From Pivotal Study Baseline In Hemoglobin Concentration At Week 52, Change From Pivotal Study Baseline In The UFS-QoL Symptom Severity Scale At Week 52, Change From Pivotal Study Baseline In The UFS-QoL Score Health-Related Quality of Life Subscales Score At Week 52, Change From Pivotal Study Baseline In The UFS-QoL Score By Health-Related Quality of Life Total Score At Week 52, Change From Pivotal Study Baseline In The Uterine Fibroid Symptom Health-Related Quality of Life (UFS-QoL) Bleeding And Pelvic Discomfort (BPD) Scale At Week 52, Change From Pivotal Study Baseline In Uterine Volume At Week 52, Change From Pivotal Study Baseline In Uterine Fibroid Volume At Week 52, Percent Change From Pivotal Study Baseline In Bone Mineral Density (BMD) At The Lumbar Spine (L1-L4), Femoral Neck, And Total Hip At Week 52, Change From Pivotal Study Baseline In Predose Serum E2 Concentrations At Week 52, Change From Pivotal Study Baseline In European Quality Of Life Five Dimension Five Level (EQ-5D-5L) Scale At Week 52"
1171,ACETATO DE NORETISTERONA,NCT04527003,Cannabidiol and Management of Endometriosis Pain,"Endometriosis, CBD, Pelvic Pain","Cannabidiol (CBD) Extract, Norethindrone Acetate, Placebo",Pain Score Area Under the Curve (AUC)
1171,ACETATO DE NORETISTERONA,NCT02691494,Efficacy and Safety of Elagolix in Combination With Estradiol/Norethindrone Acetate for the Management of Heavy Menstrual Bleeding Associated With Uterine Fibroids in Premenopausal Women (Replicate Study),"Uterine Fibroids, Heavy Menstrual Bleeding","Elagolix, Placebo for Estradiol/Norethindrone Acetate, Estradiol/Norethindrone Acetate, Placebo for Elagolix","Percentage of Participants Meeting the Criteria for Responder, Change From Baseline in MBL Volume to the Final Month, Percentage of Participants With Suppression of Bleeding at the Final Month, Change From Baseline in MBL Volume to Month 6, Change From Baseline in MBL Volume to Month 3, Percentage of Participants With Baseline Hemoglobin <= 10.5 g/dL Who Have an Increase in Hemoglobin > 2 g/dL at Month 6, Change From Baseline in MBL Volume to Month 1"
1172,ESTRADIOL,NCT00924560,A Multicenter Study to Evaluate the Effects of a 91-day Oral Contraceptive on Bone Mineral Density in Adolescent Females,Bone Mineral Density,"91-day Levonorgestrel Oral Contraceptive, 28-day Levonorgestrel Oral Contraceptive","Percent Change From Baseline to 12 Months in Lumbar Spine Bone Mineral Density (BMD), Change From Baseline in Lumbar Spine Bone Mineral Density, Change From Baseline in Lumbar Spine Bone Mineral Content (BMC), Change From Baseline in Proximal Femur Bone Mineral Density, Change From Baseline in Proximal Femur Bone Mineral Content (BMC), Change From Baseline in Total Body Bone Mineral Density, Change From Baseline in Total Body Bone Mineral Content (BMC), Change From Baseline in Bone-specific Alkaline Phosphatase, Change From Baseline in Serum Deoxypyridinoline, Change From Baseline in Serum Osteocalcin, Change From Baseline in Serum Procollagen 1 N-terminal Propeptide, Change From Baseline in Serum Type I Collagen N-telopeptide, Number of Participants With Adverse Events (AEs)"
1172,ESTRADIOL,NCT02995694,A Study Comparing Estradiol Vaginal Cream to Estrace® Cream in Females With Atrophic Vaginitis,Atrophic Vaginitis,"Estradiol, Placebos, Reference","Vaginal Cytology, Patient Self-assessment of the Symptoms of Vulvar and Vaginal Atrophy"
1173,ESTOLATO DE ERITROMICINA,NCT03341273,Placebo-Controlled Trial of Antibiotic Therapy in Adults With Suspect Lower Respiratory Tract Infection (LRTI) and a Procalcitonin Level,Lower Respiratory Tract Infection,"Azithromycin, Placebo, VIDAS B.R.A.H.M.S Procalcitonin Test (PCT)","Clinical Improvement at Day 5 Visit (D5V), Clinical Improvement at Day 11 Visit (D11V), Clinical Improvement at Day 28 Visit (D28V), Composite Overall Desirability of Outcome Ranking (DOOR) Assessed Employing a Superiority Analysis Using the ""Response Adjusted for Days of Antibiotic Risk (RADAR)"" Approach at Day 5 Visit, Number of Participants Exhibiting Improvement in One or More LRTI Symptoms or Fever at Day 11 Visit, Number of Participants Exhibiting Improvement in One or More LRTI Symptoms or Fever at Day 28 Visit, Number of Participants Exhibiting Improvement in at Least Two Presenting Signs or Symptoms at Day 5 Visit, Number of Participants Exhibiting Worsening or Deterioration in One or More Symptoms at Day 5 Visit, Number of Participants Reporting One or More Hospitalization or Visits to an Emergency Department (ED), Outpatient Clinic, or Urgent Care Center (After Randomization) for Worsening or Persistent Lower Respiratory Tract Infection, Number of Participants Reporting Solicited Adverse Events From Day 1 Through Day 5 Visit, Number of Participants With One or More Emergency Department Visits for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 11 Visit, Number of Participants With One or More Emergency Department Visits for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 28 Visit, Number of Participants With One or More Hospitalizations (if Not Hospitalized at Enrollment) for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 11 Visit, Number of Participants With One or More Hospitalizations (if Not Hospitalized at Enrollment) for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 28 Visit, Number of Participants With One or More Unplanned Return to a Physician's Office or Urgent Care for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 11 Visit, Number of Participants With One or More Unplanned Return to a Physician's Office or Urgent Care for Persistent or Worsening Lower Respiratory Tract Infection (LRTI) by Day 28 Visit, Number of Participants With a New Occurrence of a Vital Sign Abnormality at Day 5 Visit, Quantification of All Antibiotic Use From Day 1 Through Day 11 Visit, Quantification of All Antibiotic Use From Day 1 Through Day 28 Visit"
1173,ESTOLATO DE ERITROMICINA,NCT01323582,"Comparison of Two Macrolides, Azithromycin and Erythromycin, for Symptomatic Treatment of Gastroparesis",Gastroparesis,"Erythromycin, Azithromycin","Time in Minutes for 50% of the Ingested Meal to Empty the Stomach With a Standardized Breath Test: Half the of the Week 11 Value (Period 2) Less Half the of the Week 4 Value (Period 1). This Estimates the Effect Size., Gastroparesis Cardinal Symptom Index (GCSI) Score, NDI Score, TLAG (Time From Ingestion of Meal to Start of Gastric Emptying), Change in Time to 50% Gastric Emptying: Post Test Less Baseline Pooled Over Orderings, Change in Time to 50% Emptying: Post Test Less Baseline Pooled Over Orderings, Gastroparesis Cardinal Symptom Index (GCSI) Score Change From Baseline to Post Treatment, Does GCSI Score Improve (Lower) on Treatment, Pooling the AZ Patients Over Their Treatment Periods? Endpoint is Difference in Post-test Less Baseline"
1173,ESTOLATO DE ERITROMICINA,NCT03060473,Treatment of ppROM With Erythromycin vs. Azithromycin Trial,Preterm Premature Rupture of Membranes (PPROM),"Azithromycin, Erythromycin, Ampicillin, Amoxicillin","Proportion of Women Still Pregnant by Day 7, Latency Defined as Interval From PPROM to Delivery."
1173,ESTOLATO DE ERITROMICINA,NCT00467831,Pilot Study of a Multi-Drug Regimen for Severe Pulmonary Fibrosis in Hermansky-Pudlak Syndrome,"Hermansky-Pudlak Syndrome (HPS), Pulmonary Fibrosis, Oculocutaneous Albinism, Platelet Storage Pool Deficiency, Metabolic Disease","Losartan, Zileuton, N-Acetylcysteine, Pravastatin, Erythromycin",Survival at 2 Years
1174,OMEPRAZOL MICROGRANULADOS,NCT00357682,"A Phase III, Randomized, Study of Aspirin and Esomeprazole Chemoprevention in Barrett's Metaplasia","Esophageal Cancer, Precancerous Condition","Esomeprazole, Esomeprazole, Aspirin","First Event of Death, Oesophageal Adenocarcinoma, High Grade Dysplasia, All Cause Mortality, Adenocarcinoma Oesophageal Cancer, High Grade Dysplasia"
