Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
SECNIDAL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1723383244;17/12/2024;TODAS
ZINLERG;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1443622249;21/10/2024;TODAS
etoricoxibe;EMS S/A;57.507.378/0003-65;1187838250;08/09/2025;TODAS
SOLUÇÃO DE GLICOSE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0970668212;12/03/2021;TODAS
agomelatina;LABORATÓRIOS SERVIER DO BRASIL LTDA;42.374.207/0001-76;3795166201;30/10/2020;TODAS
enantato de noretisterona + valerato de estradiol;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;1497867240;31/10/2024;TODAS
CLORATADD CAPS;EMS S/A;57.507.378/0003-65;4906726224;04/11/2022;TODAS
cetoconazol + betametasona + sulfato de neomicina;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;0732779251;29/05/2025;TODAS
EQUILIBRISSE;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0920579256;15/07/2025;TODAS
LÁBREA DUO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0738322253;30/05/2025;TODAS
rivaroxabana;CIMED INDUSTRIA S.A;02.814.497/0001-07;0939227258;21/07/2025;TODAS
CABLIVI;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1311819231;23/11/2023;TODAS
celecoxibe;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0309653258;07/03/2025;TODAS
lamotrigina;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;0812481259;18/06/2025;TODAS
BIANCORT;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0874562252;03/07/2025;TODAS
CEFTRIONA;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;1565192249;13/11/2024;TODAS
