Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
olanzapina;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1556668214;23/04/2021;TODAS
MICROPIL;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0401485242;01/04/2024;TODAS
DORILEN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;4289549225;13/06/2022;TODAS
BETADINE;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0266947255;25/02/2025;TODAS
DRYLTAC;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1088991254;15/08/2025;TODAS
PENVIR LÁBIA;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;4982975221;25/11/2022;TODAS
dacarbazina;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;61.282.661/0001-41;0078224233;25/01/2023;TODAS
VIT PANTENOL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;0233625232;08/03/2023;TODAS
ALPHANATE;GRIFOLS BRASIL LTDA;02.513.899/0001-71;0192906259;11/02/2025;TODAS
BERINERT;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;0306793253;06/03/2025;TODAS
EXPEC;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1412849233;12/12/2023;TODAS
APRACUR;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0991472182;11/10/2018;TODAS
paracetamol+cafeína;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1573437221;07/04/2022;TODAS
DIAZEPAM NQ;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1018061258;07/08/2025;TODAS
PROFLOX;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0368058255;19/03/2025;TODAS
VESICARE;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;0128937254;29/01/2025;TODAS
DEXADERMIL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;4841501223;19/10/2022;TODAS
DERMOBENE;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0977016251;28/07/2025;TODAS
IBUFLEX;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1331453241;27/09/2024;TODAS
PARACETAMOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0645541249;15/05/2024;TODAS
FASLODEX;ASTRAZENECA DO BRASIL LTDA;60.318.797/0001-00;0666106258;16/05/2025;TODAS
OCTRIDE;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;1123937257;20/08/2025;TODAS
MICARDIS ANLO;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;1729994245;18/12/2024;TODAS
LACTO PURGA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0233175229;18/01/2022;TODAS
RINVOQ;ABBVIE FARMACÊUTICA LTDA.;15.800.545/0001-50;0559859252;25/04/2025;TODAS
trometamol cetorolaco;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0617860254;07/05/2025;TODAS
CLORIDRATO DE NEBIVOLOL;TORRENT DO BRASIL LTDA;33.078.528/0001-32;2707006220;11/05/2022;TODAS
PERFENOL;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0381315258;20/03/2025;TODAS
CICATENOL;EMS S/A;57.507.378/0003-65;1527185214;21/04/2021;TODAS
ZITROBIOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0689571159;04/08/2015;TODAS
CLO;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0418821259;27/03/2025;TODAS
NEUTROFER FÓLICO;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1554913215;23/04/2021;TODAS
Acebrofilina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0792243251;12/06/2025;TODAS
HEMOBLOCK;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;4871458229;26/10/2022;TODAS
tinidazol + nitrato de miconazol;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1127198254;21/08/2025;TODAS
UNIGYN;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0277430259;27/02/2025;TODAS
CELERG;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0232299226;18/01/2022;TODAS
NAXOTEC;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1476952248;28/10/2024;TODAS
LARINGEX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;0464628212;04/02/2021;TODAS
pioglit;TORRENT DO BRASIL LTDA;33.078.528/0001-32;3976526201;12/11/2020;TODAS
DESONIDA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;3777870218;24/09/2021;TODAS
MALEATO DE ENALAPRIL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0988262258;30/07/2025;TODAS
SANPROST;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;08.939.548/0001-03;0133359173;03/01/2023;TODAS
VACINA PNEUMOCÓCICA 10-VALENTE (CONJUGADA);FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;4562832223;17/08/2022;TODAS
COLÍRIO GEOLAB;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4620847224;29/08/2022;TODAS
LIPANON;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1598336216;26/04/2021;TODAS
ZOLIBBS;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0467570248;12/04/2024;TODAS
repaglinida;EMS S/A;57.507.378/0003-65;1347690214;08/04/2021;TODAS
NERVAMIN;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0644848251;13/05/2025;TODAS
rosuvastatina cálcica;EMS S/A;57.507.378/0003-65;1172894256;03/09/2025;TODAS
Xylestesin com norepinefrina;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0925242218;09/03/2021;TODAS
HIDROCORTE;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1398329216;12/04/2021;TODAS
SPECTOLAB BALSAMICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0378799231;14/04/2023;TODAS
SONEBON;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;4991918227;29/11/2022;TODAS
CANDIGRAN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;3819099212;27/09/2021;TODAS
TENOXICAM;EMS S/A;57.507.378/0003-65;0709801254;26/05/2025;TODAS
losartana potássica;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0963049259;23/07/2025;TODAS
FUMARATO DE TENOFOVIR DESOPROXILA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;2303261228;12/04/2022;TODAS
LISADOR;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0443998230;04/05/2023;TODAS
COLÍRIO LEGRAND;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0627164234;20/06/2023;TODAS
GABAPENTINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1063354234;05/10/2023;TODAS
tinidazol + Nitrato de miconazol;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1287690238;20/11/2023;TODAS
PROZEN;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1404986235;11/12/2023;TODAS
NEUREXAN;HEEL DO BRASIL BIOMÉDICA LTDA;05.994.539/0001-27;4370686229;01/07/2022;TODAS
PREDNISOLONA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0660216256;15/05/2025;TODAS
mesilato de doxazosina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1001203259;04/08/2025;TODAS
ERBITUX;MERCK S/A;33.069.212/0001-84;0258185252;24/02/2025;TODAS
BAXTER GLICOSE;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;1251175244;11/09/2024;TODAS
BAXTER SOLUÇÃO DE RINGER COM LACTATO;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;3876897211;01/10/2021;TODAS
ibuprofeno;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0768071259;06/06/2025;TODAS
DESTADIN;EMS S/A;57.507.378/0003-65;1006253254;05/08/2025;TODAS
METRONIDAZOL;CIMED INDUSTRIA S.A;02.814.497/0001-07;0525298189;02/07/2018;TODAS
PACLITAXEL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1068241241;06/08/2024;TODAS
cefadroxila;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0844752258;27/06/2025;TODAS
cloridrato de ticlopidina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;8109131212;18/12/2021;TODAS
OPTHAAC 40;OPHTHALMOS LTDA;61.129.409/0001-05;0144756242;06/02/2024;TODAS
COLUJET;CIMED INDUSTRIA S.A;02.814.497/0001-07;2564720226;27/04/2022;TODAS
RHOPHYLAC;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;1163685241;23/08/2024;TODAS
CICLOPIROX OLAMINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1023269252;08/08/2025;TODAS
SUAVICID;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1021581259;08/08/2025;TODAS
Fenofibrato Micronizado;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0774576251;09/06/2025;TODAS
ertapeném sódico;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;44.639.493/0001-80;1471355241;25/10/2024;TODAS
Fenofibrato Micronizado;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0242203256;20/02/2025;TODAS
DABAZ;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0116234237;03/02/2023;TODAS
mesilato de lenvatinibe;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;1543005241;08/11/2024;TODAS
TILENATI;NATIVITA IND. COM. LTDA.;65.271.900/0001-19;0261819182;05/04/2018;TODAS
CEFANAXIL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0404197196;07/05/2019;TODAS
SULFATO DE VINCRISTINA;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0116212233;03/02/2023;TODAS
AZITROMICINA;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;5081066222;22/12/2022;TODAS
FOSFATO DE POTÁSSIO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;05.155.425/0001-93;1216293236;06/11/2023;TODAS
bicalutamida;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;1432027214;14/04/2021;TODAS
CALNATE;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0210046244;22/02/2024;TODAS
estolato de eritromicina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0352930144;08/05/2014;TODAS
sulfato de neomicina + bacitracina zíncica;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;3964196201;11/11/2020;TODAS
OCITOCINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3364447191;05/12/2019;TODAS
SANTIAZEPAM;SANTISA LABORATÓRIO FARMACÊUTICO S/A;04.099.395/0001-82;4888551227;31/10/2022;TODAS
BRIDION;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;1325102245;26/09/2024;TODAS
Soro Antitetânico;INSTITUTO BUTANTAN;61.821.344/0001-56;0990689247;19/07/2024;TODAS
candesartana cilexetila;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0972926259;25/07/2025;TODAS
Soro Antibotrópico;INSTITUTO BUTANTAN;61.821.344/0001-56;0953674240;12/07/2024;TODAS
Soro Anti-rábico;INSTITUTO BUTANTAN;61.821.344/0001-56;0989732240;19/07/2024;TODAS
BEXETON;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0902375253;09/07/2025;TODAS
DERMONASE;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0778034259;10/06/2025;TODAS
Indafix;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0466342241;12/04/2024;TODAS
BERBERIS-HOMACCORD;HEEL DO BRASIL BIOMÉDICA LTDA;05.994.539/0001-27;4370054222;01/07/2022;TODAS
GLICOSE 75%;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;0223623191;13/03/2019;TODAS
NIMESULIDA;CIMED INDUSTRIA S.A;02.814.497/0001-07;1127989183;29/11/2018;TODAS
DOMPERIX;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0715026224;25/02/2022;TODAS
Soro Anticrotálico;INSTITUTO BUTANTAN;61.821.344/0001-56;0920696244;05/07/2024;TODAS
GADOVIST;BAYER S.A.;18.459.628/0001-15;1476798249;28/10/2024;TODAS
bromoprida;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0418401241;03/04/2024;TODAS
Paracetamol;NATIVITA IND. COM. LTDA.;65.271.900/0001-19;2295088195;30/09/2019;TODAS
cloridrato de tramadol (PORT. 344/98 - LISTA A2);HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1542331242;08/11/2024;TODAS
DIGESIGMA;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0418932247;03/04/2024;TODAS
nitrato de fenticonazol;EMS S/A;57.507.378/0003-65;3764862211;23/09/2021;TODAS
lansoprazol + claritromicina + amoxicilina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0655311254;15/05/2025;TODAS
GLALFITAL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1177465256;04/09/2025;TODAS
SIILIF;TAKEDA PHARMA LTDA.;60.397.775/0001-74;0415177251;26/03/2025;TODAS
TREXACONT;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;4435350220;16/07/2022;TODAS
EPÉZ;TORRENT DO BRASIL LTDA;33.078.528/0001-32;0516007254;15/04/2025;TODAS
NORFLOXACINO;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;0274843226;21/01/2022;TODAS
Tranquinal SLG;Laboratórios Bagó do Brasil S/A;04.748.181/0009-47;1370119232;04/12/2023;TODAS
acetato de dexametasona;CIMED INDUSTRIA S.A;02.814.497/0001-07;0243417182;29/03/2018;TODAS
CLORIDRATO DE VALACICLOVIR;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;0757951252;04/06/2025;TODAS
QLAIRA;BAYER S.A.;18.459.628/0001-15;3778846213;24/09/2021;TODAS
CARVEDILOL;EMS S/A;57.507.378/0003-65;4904632222;04/11/2022;TODAS
pantoprazol sódico;EMS S/A;57.507.378/0003-65;0282735259;27/02/2025;TODAS
CETONAT;NATIVITA IND. COM. LTDA.;65.271.900/0001-19;0237002230;09/03/2023;TODAS
MICOPLEX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4129399201;23/11/2020;TODAS
COSENTYX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0019173253;07/01/2025;TODAS
RISONATO;EMS S/A;57.507.378/0003-65;4992053220;29/11/2022;TODAS
RITMONEURAN RTM;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;1391585232;07/12/2023;TODAS
Carvedilol;TORRENT DO BRASIL LTDA;33.078.528/0001-32;4699203221;15/09/2022;TODAS
PIPERACILINA SÓDICA+TAZOBACTAM SÓDICO;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;1079436243;07/08/2024;TODAS
PLAQ;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0175345252;07/02/2025;TODAS
XEFO;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;1512630217;20/04/2021;TODAS
ANASTROLIBBS;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1360123245;03/10/2024;TODAS
ampicilina sódica + sulbactam sódica;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;0209331232;02/03/2023;TODAS
ADINOS GEN;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0329042254;11/03/2025;TODAS
ETODOLACO;EMS S/A;57.507.378/0003-65;0788218255;11/06/2025;TODAS
SINVASTATINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0103272259;23/01/2025;TODAS
travoprosta;EMS S/A;57.507.378/0003-65;1023043254;08/08/2025;TODAS
fenitoína sódica;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1457009242;23/10/2024;TODAS
propionato de clobetasol;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0502897252;11/04/2025;TODAS
SORO ANTIDIFTERICO;INSTITUTO BUTANTAN;61.821.344/0001-56;0894476246;01/07/2024;TODAS
NORFLOXACINO;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0585013250;30/04/2025;TODAS
Vasotrilix;EMS S/A;57.507.378/0003-65;0465738249;12/04/2024;TODAS
SOLUÇÃO GLICOFISIOLÓGICA;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;3863407211;30/09/2021;TODAS
SORO ANTILONÔMICO;INSTITUTO BUTANTAN;61.821.344/0001-56;0117806251;28/01/2025;TODAS
soro antibotrópico-laquético;INSTITUTO BUTANTAN;61.821.344/0001-56;1088856241;09/08/2024;TODAS
NEVRALGEX;CIMED INDUSTRIA S.A;02.814.497/0001-07;0524697256;16/04/2025;TODAS
EPIDUO;GALDERMA BRASIL LTDA;00.317.372/0001-46;1682244245;09/12/2024;TODAS
ATEROGREL;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;1558486211;23/04/2021;TODAS
Soro Antiescorpiônico;INSTITUTO BUTANTAN;61.821.344/0001-56;1091674248;09/08/2024;TODAS
soro antiaracnídico (Loxosceles, Phoneutria e Tityus);INSTITUTO BUTANTAN;61.821.344/0001-56;1025231244;26/07/2024;TODAS
aero-ifal;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;00.376.959/0001-26;3511525194;19/12/2019;TODAS
cloridrato de donepezila;TORRENT DO BRASIL LTDA;33.078.528/0001-32;0516034251;15/04/2025;TODAS
Cloridrato de Sibutramina Monoidratada;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4710268223;19/09/2022;TODAS
AMPICILAB;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0986888257;30/07/2025;TODAS
PREGALPHA;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1272295249;16/09/2024;TODAS
ácido tranexâmico;EMS S/A;57.507.378/0003-65;0896449254;08/07/2025;TODAS
Soro Antielapídico;INSTITUTO BUTANTAN;61.821.344/0001-56;0990151247;19/07/2024;TODAS
Dipropionato de Betametasona + Sulfato de Gentamicina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0488364181;18/06/2018;TODAS
IBUPROFENO;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0180671158;27/02/2015;TODAS
OXALATO DE ESCITALOPRAM;TORRENT DO BRASIL LTDA;33.078.528/0001-32;0461494230;08/05/2023;TODAS
BUPROLIVIUM;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;0142604259;31/01/2025;TODAS
FARMANGUINHOS OSELTAMIVIR;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0662012259;16/05/2025;TODAS
levofloxacino;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0768786258;06/06/2025;TODAS
CLORIDRATO DE METFORMINA;CIMED INDUSTRIA S.A;02.814.497/0001-07;1176311186;13/12/2018;TODAS
lamotrigina;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1189850257;08/09/2025;TODAS
Soro Antibotulínico AB;INSTITUTO BUTANTAN;61.821.344/0001-56;0849738245;21/06/2024;TODAS
CABERTRIX;ADIUM S.A.;55.980.684/0001-27;1375936247;07/10/2024;TODAS
PROMENSIL;FARMOQUÍMICA S/A;33.349.473/0001-58;0965154246;16/07/2024;TODAS
Soro Antibotrópico-crotálico;INSTITUTO BUTANTAN;61.821.344/0001-56;1025375246;26/07/2024;TODAS
RESFENOL THERMUS;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;1716787216;04/05/2021;TODAS
BROMETO DE PINAVÉRIO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0772664251;09/06/2025;TODAS
FENOBRATY;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0244430250;20/02/2025;TODAS
BIOHEPATON;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;0220328251;17/02/2025;TODAS
Bromoprida;EMS S/A;57.507.378/0003-65;0418669244;03/04/2024;TODAS
ADENOSINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1448035244;22/10/2024;TODAS
MANITOL BAXTER;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;4659430219;25/11/2021;TODAS
SS WHITE 100;S S WHITE ARTIGOS DENTARIOS S/A;68.567.650/0001-57;1296509249;20/09/2024;TODAS
SOSSEG;CIMED INDUSTRIA S.A;02.814.497/0001-07;0455353255;03/04/2025;TODAS
CAPTOPRIL;BRASTERAPICA PHARMACEUTICA LTDA.;46.179.008/0001-68;0264993233;16/03/2023;TODAS
CETOCONAZOL;NATIVITA IND. COM. LTDA.;65.271.900/0001-19;0724669221;25/02/2022;TODAS
EMS-PRED;EMS S/A;57.507.378/0003-65;0645292257;13/05/2025;TODAS
VISOPTIC;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1134998252;22/08/2025;TODAS
PIEMONTE;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4726592220;22/09/2022;TODAS
SALONPAS PAIN RELIEF PATCH;HISAMITSU FARMACÊUTICA DO BRASIL LTDA;49.383.250/0001-47;0604315236;14/06/2023;TODAS
DICLORIDRATO DE HIDROXIZINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4223512226;28/05/2022;TODAS
CLORIDRATO DE SEVELAMER;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;1277604231;17/11/2023;TODAS
PEDIALYTE MAX;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0620828234;19/06/2023;TODAS
HEMIFUMARATO DE QUETIAPINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0940214253;21/07/2025;TODAS
ELREXFIO;PFIZER BRASIL LTDA;61.072.393/0001-33;1179997255;04/09/2025;TODAS
cloridrato de fexofenadina;UNICHEM FARMACÊUTICA DO BRASIL LTDA;05.399.786/0001-85;0638977258;12/05/2025;TODAS
BACIGEN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4132227204;23/11/2020;TODAS
ZYLCAS;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0464596220;07/02/2022;TODAS
Alprazolam;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0813425255;18/06/2025;TODAS
SOLLEVARE;EMS S/A;57.507.378/0003-65;1443851248;21/10/2024;TODAS
TOBRAMICINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1010143255;06/08/2025;TODAS
ACETATO DE PREDNISOLONA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1136320253;23/08/2025;TODAS
OLANZAPINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0505129181;25/06/2018;TODAS
cloridrato de bupropiona;EMS S/A;57.507.378/0003-65;0857711253;30/06/2025;TODAS
ÁCIDO TRANEXÂMICO;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1445524244;21/10/2024;TODAS
CLORIDRATO DE NALOXONA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1567333249;14/11/2024;TODAS
ARNICA GEL;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;3113528216;09/08/2021;TODAS
Isotretinoína;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0997352256;01/08/2025;TODAS
amoxicilina + clavulanato de potássio;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0996623256;01/08/2025;TODAS
ACECLOFENACO;EMS S/A;57.507.378/0003-65;0961268255;23/07/2025;TODAS
PLAVOM;CIMED INDUSTRIA S.A;02.814.497/0001-07;1815065209;08/06/2020;TODAS
EUTHYROX;MERCK S/A;33.069.212/0001-84;1133203256;22/08/2025;TODAS
FLUCONID;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;0420316256;27/03/2025;TODAS
dicloridrato de betaistina;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;5204052216;10/12/2021;TODAS
MONTELUCASTE SÓDICO;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1154881253;28/08/2025;TODAS
PINAZAN;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0683855255;21/05/2025;TODAS
CLORIDRATO DE PROPRANOLOL;CIMED INDUSTRIA S.A;02.814.497/0001-07;3932153203;09/11/2020;TODAS
maleato de dexclorfeniramina;CIMED INDUSTRIA S.A;02.814.497/0001-07;0415107253;26/03/2025;TODAS
PRISTIQ;PFIZER BRASIL LTDA;61.072.393/0001-33;0760797242;06/06/2024;TODAS
SYNFLORIX;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;4535192227;10/08/2022;TODAS
Ciclopirox- olamina;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0839954255;26/06/2025;TODAS
Pradaxa;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;1773671243;30/12/2024;TODAS
AMINOFILINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1665822244;05/12/2024;TODAS
CIPRIXIN DEXA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4654986227;06/09/2022;TODAS
FDC BETACAROTENO 15 MG;BIOWELL AMERICA LTDA;40.809.626/0001-68;0437944146;03/06/2014;TODAS
