Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Data de Publicação (dt);Categoria
MOMENT;APSEN FARMACEUTICA S/A;62.462.015/0001-29;3978647201;12/11/2020;2020-11-12;especifico
SALONPAS PAIN RELIEF PATCH;HISAMITSU FARMACÊUTICA DO BRASIL LTDA;49.383.250/0001-47;3978437201;12/11/2020;2020-11-12;especifico
Ilaris;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;3978960208;12/11/2020;2020-11-12;biologico
LEVOXIN;APSEN FARMACEUTICA S/A;62.462.015/0001-29;3989257203;13/11/2020;2020-11-13;similar
BACTODERM;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;3991999204;13/11/2020;2020-11-13;similar
DIGESAN;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;3990856209;13/11/2020;2020-11-13;novo
NIMESULIDA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;3995437204;13/11/2020;2020-11-13;generico
Levoxin;APSEN FARMACEUTICA S/A;62.462.015/0001-29;3990718200;13/11/2020;2020-11-13;novo
DINAFLEX;ADIUM S.A.;55.980.684/0001-27;4035516201;16/11/2020;2020-11-16;novo
GENLIBBS;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4035105200;16/11/2020;2020-11-16;similar
FUROSEMIDA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4032318208;16/11/2020;2020-11-16;generico
FENITOÍNA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4032359205;16/11/2020;2020-11-16;generico
ALOIS;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4048313204;17/11/2020;2020-11-17;novo
AZULFIN;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4047880207;17/11/2020;2020-11-17;similar
VARICAPS AH;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;4047165209;17/11/2020;2020-11-17;fitoterapico
DOBEVEN;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4047390202;17/11/2020;2020-11-17;novo
CAMOMILINA C;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;4050234201;17/11/2020;2020-11-17;especifico
GRECE;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;4044401205;17/11/2020;2020-11-17;similar
KALYDECO;VERTEX FARMACEUTICA DO BRASIL LTDA.;21.798.065/0001-02;4062998208;18/11/2020;2020-11-18;novo
SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4068658202;18/11/2020;2020-11-18;especifico
Symdeko;VERTEX FARMACEUTICA DO BRASIL LTDA.;21.798.065/0001-02;4063266201;18/11/2020;2020-11-18;novo
FEMME FOLICO;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4065208204;18/11/2020;2020-11-18;especifico
AFOPIC;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4065385204;18/11/2020;2020-11-18;especifico
ETOXIN;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4079105200;19/11/2020;2020-11-19;similar
DUO-TRAVATAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4084457209;19/11/2020;2020-11-19;novo
PAXORAL;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4080154203;19/11/2020;2020-11-19;biologico
KEFLEX;Laboratórios Bagó do Brasil S/A;4748181000947;4082230203;19/11/2020;2020-11-19;novo
DIURIT;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;4077995205;19/11/2020;2020-11-19;similar
SUALIV;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;4083660206;19/11/2020;2020-11-19;similar
DUEFORZI;APSEN FARMACEUTICA S/A;62.462.015/0001-29;4080232209;19/11/2020;2020-11-19;similar
KTRIZ;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;4075416202;19/11/2020;2020-11-19;biologico
Dorilax DT;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4081718201;19/11/2020;2020-11-19;similar
UNHA SANA;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;4093935209;20/11/2020;2020-11-20;similar
ACFOL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4129996205;23/11/2020;2020-11-23;especifico
RECALPLEX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131418202;23/11/2020;2020-11-23;especifico
cloridrato de pioglitazona;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;4131804208;23/11/2020;2020-11-23;generico
ACETICIL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4132727206;23/11/2020;2020-11-23;similar
MICOPLEX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4129399201;23/11/2020;2020-11-23;similar
ALIVBABY;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4132108201;23/11/2020;2020-11-23;similar
ADOLESS;FARMOQUÍMICA S/A;33.349.473/0001-58;4128112208;23/11/2020;2020-11-23;similar
DIOBRATE;CIMED INDUSTRIA S.A;2814497000107;4128464200;23/11/2020;2020-11-23;similar
B-SUPRIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4130868209;23/11/2020;2020-11-23;especifico
B-VIT;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4130976206;23/11/2020;2020-11-23;especifico
LIMA C;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131168200;23/11/2020;2020-11-23;especifico
NEURIVIT;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131377201;23/11/2020;2020-11-23;especifico
BACIGEN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4132227204;23/11/2020;2020-11-23;similar
SUPRIUM;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131581202;23/11/2020;2020-11-23;especifico
SENNALAX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4127713209;23/11/2020;2020-11-23;fitoterapico
MILGAMMA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4132446203;23/11/2020;2020-11-23;novo
CAZIGERAN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4130889201;23/11/2020;2020-11-23;especifico
NEURI - B6;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131269204;23/11/2020;2020-11-23;especifico
AEROTRAT;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4131970202;23/11/2020;2020-11-23;similar
Linezolida;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;4125790201;23/11/2020;2020-11-23;generico
FLOXINA;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4129405200;23/11/2020;2020-11-23;similar
ASMANON;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4129266209;23/11/2020;2020-11-23;similar
ASMAFIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4128487209;23/11/2020;2020-11-23;similar
BINOSPAN COMPOSTO;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4132340208;23/11/2020;2020-11-23;similar
CLORIDRATO DE CICLOBENZAPRINA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4141417209;24/11/2020;2020-11-24;generico
DORTO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4144536208;24/11/2020;2020-11-24;similar
FURP - ETAMBUTOL;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;4161813201;25/11/2020;2020-11-25;similar
DOLAMIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4158332209;25/11/2020;2020-11-25;novo
SINVASTAMED;CIMED INDUSTRIA S.A;2814497000107;4163358200;25/11/2020;2020-11-25;similar
OMEPRAMED;CIMED INDUSTRIA S.A;2814497000107;4158012205;25/11/2020;2020-11-25;similar
ABRETIA;FARMOQUÍMICA S/A;33.349.473/0001-58;4163320202;25/11/2020;2020-11-25;similar
ROHYPNOL;FARMOQUÍMICA S/A;33.349.473/0001-58;4162756203;25/11/2020;2020-11-25;novo
OTOCIRIAX;FARMOQUÍMICA S/A;33.349.473/0001-58;4163564207;25/11/2020;2020-11-25;similar
KUVAN;BIOMARIN BRASIL FARMACÊUTICA LTDA;8002360000134;4161245201;25/11/2020;2020-11-25;novo
CLORIDRATO DE ZIPRASIDONA;EMS S/A;57.507.378/0003-65;4161474207;25/11/2020;2020-11-25;generico
KALETRA;ABBVIE FARMACÊUTICA LTDA.;15.800.545/0001-50;4160216201;25/11/2020;2020-11-25;novo
VESANOID;FARMOQUÍMICA S/A;33.349.473/0001-58;4162878201;25/11/2020;2020-11-25;novo
BERIBUMIN;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4159914204;25/11/2020;2020-11-25;biologico
TIORFAN;Laboratórios Bagó do Brasil S/A;4748181000947;4164242202;25/11/2020;2020-11-25;novo
ZEMAIRA;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4158645200;25/11/2020;2020-11-25;biologico
FIBROGAMMIN P;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4160229203;25/11/2020;2020-11-25;biologico
BENICAR HCT;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;4173919201;26/11/2020;2020-11-26;novo
Alburex 20;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4174050205;26/11/2020;2020-11-26;biologico
VICK VAPORUB;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4174511206;26/11/2020;2020-11-26;especifico
DOLAMIN FLEX;FARMOQUÍMICA S/A;33.349.473/0001-58;4173375204;26/11/2020;2020-11-26;novo
GYNOMAX;FARMOQUÍMICA S/A;33.349.473/0001-58;4178735208;26/11/2020;2020-11-26;similar
INTHOS;FARMOQUÍMICA S/A;33.349.473/0001-58;4176779209;26/11/2020;2020-11-26;fitoterapico
GYNOPAC;FARMOQUÍMICA S/A;33.349.473/0001-58;4176683201;26/11/2020;2020-11-26;novo
BERIPLEX P/N;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4177386201;26/11/2020;2020-11-26;biologico
GLIMEPIL;FARMOQUÍMICA S/A;33.349.473/0001-58;4173069201;26/11/2020;2020-11-26;similar
ACTIFEDRIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4178616205;26/11/2020;2020-11-26;novo
DESIRÉE;FARMOQUÍMICA S/A;33.349.473/0001-58;4174589202;26/11/2020;2020-11-26;similar
TORADOL;FARMOQUÍMICA S/A;33.349.473/0001-58;4178152200;26/11/2020;2020-11-26;novo
DEQUADIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4178925203;26/11/2020;2020-11-26;novo
fulvestranto;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;4178817206;26/11/2020;2020-11-26;generico
BENICARANLO;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;4174137204;26/11/2020;2020-11-26;novo
VICK PYRENA;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4176120201;26/11/2020;2020-11-26;novo
OTO BETNOVATE;FARMOQUÍMICA S/A;33.349.473/0001-58;4173411204;26/11/2020;2020-11-26;novo
OTOSPORIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4175997204;26/11/2020;2020-11-26;novo
GINESSE;FARMOQUÍMICA S/A;33.349.473/0001-58;4176403200;26/11/2020;2020-11-26;similar
LIDOSPORIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4172429201;26/11/2020;2020-11-26;novo
BERIPLAST P;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4173803209;26/11/2020;2020-11-26;similar
FLORALYTE;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4177803201;26/11/2020;2020-11-26;especifico
HARVONI;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;15.670.288/0001-89;4174623206;26/11/2020;2020-11-26;novo
CEBION CÁLCIO;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4177700200;26/11/2020;2020-11-26;especifico
MAREVAN;FARMOQUÍMICA S/A;33.349.473/0001-58;4178865206;26/11/2020;2020-11-26;novo
INALADOR VICK;PROCTER & GAMBLE DO BRASIL LTDA;59.476.770/0001-58;4175884206;26/11/2020;2020-11-26;especifico
ETHAMOLIN;FARMOQUÍMICA S/A;33.349.473/0001-58;4182340201;26/11/2020;2020-11-26;novo
CEFABEN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4195231206;27/11/2020;2020-11-27;similar
PARARTRIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4189937207;27/11/2020;2020-11-27;similar
TRICOMAX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4194893209;27/11/2020;2020-11-27;similar
CAZIDERM;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4190168201;27/11/2020;2020-11-27;similar
ISTARHES;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4195928201;27/11/2020;2020-11-27;especifico
DORALGINA DIPCAF;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;4193021205;27/11/2020;2020-11-27;novo
DIAFURAN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4195047200;27/11/2020;2020-11-27;similar
PRANOLAL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4195320207;27/11/2020;2020-11-27;similar
DIUREZIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4195094201;27/11/2020;2020-11-27;similar
Glicolive;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4223365208;30/11/2020;2020-11-30;similar
OSCAL D;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4225020200;30/11/2020;2020-11-30;especifico
BLUMEL HEDERA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;4229411208;30/11/2020;2020-11-30;fitoterapico
olmesartana medoxomila;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;4228202201;30/11/2020;2020-11-30;generico
OSCAL 500;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4223441207;30/11/2020;2020-11-30;especifico
VIDISIC GEL;BL INDÚSTRIA OTICA LTDA;27.011.022/0001-03;4227497204;30/11/2020;2020-11-30;especifico
LIPOSIC;BL INDÚSTRIA OTICA LTDA;27.011.022/0001-03;4225373200;30/11/2020;2020-11-30;novo
agomelatina;EMS S/A;57.507.378/0003-65;4226614209;30/11/2020;2020-11-30;generico
BIOEZULEN;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4223265201;30/11/2020;2020-11-30;similar
LOTEPROL;BL INDÚSTRIA OTICA LTDA;27.011.022/0001-03;4226944200;30/11/2020;2020-11-30;novo
cloridrato de fluoxetina;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;4244297204;01/12/2020;2020-12-01;generico
NATIFA PRO;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4244835202;01/12/2020;2020-12-01;similar
cloridrato de gencitabina;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;4240340205;01/12/2020;2020-12-01;generico
CIZAX;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4244537200;01/12/2020;2020-12-01;similar
MAXIDRATE;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4245424207;01/12/2020;2020-12-01;novo
PRIMACOR;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4244898201;01/12/2020;2020-12-01;novo
DIMINUT;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4244407201;01/12/2020;2020-12-01;similar
SIBLIMA;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4244668206;01/12/2020;2020-12-01;similar
CEFALEXINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;4244068208;01/12/2020;2020-12-01;generico
PLAMET;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4244540200;01/12/2020;2020-12-01;similar
NATIFA;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4244807207;01/12/2020;2020-12-01;similar
LADOGAL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4261275206;02/12/2020;2020-12-02;novo
URBANIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4261057205;02/12/2020;2020-12-02;novo
MALEATO DE DEXCLORFENIRAMINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4257964203;02/12/2020;2020-12-02;generico
brometo de ipratrópio;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4256902208;02/12/2020;2020-12-02;generico
FUMARATO DE TENOFOVIR DESOPROXILA;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE;10.877.926/0001-13;4255587206;02/12/2020;2020-12-02;generico
BUTILBROMETO DE ESCOPOLAMINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4257531201;02/12/2020;2020-12-02;generico
MYLZAR;MYLAN LABORATORIOS LTDA;11.643.096/0001-22;4259158209;02/12/2020;2020-12-02;similar
Bromidrato de Fenoterol;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4257340208;02/12/2020;2020-12-02;generico
BROMOPRIDA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4270122208;03/12/2020;2020-12-03;generico
NASALFLUX;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;4277562201;03/12/2020;2020-12-03;similar
SONARIN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;4275295207;03/12/2020;2020-12-03;similar
clonazepam;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4270933204;03/12/2020;2020-12-03;generico
CABERGOLINA;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;4279368208;03/12/2020;2020-12-03;generico
DORFEN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4287043207;04/12/2020;2020-12-04;similar
ISOFARMA SOLUÇÃO DE FOSFATO DE POTÁSSIO 2 MEQ/ML;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4289458201;04/12/2020;2020-12-04;especifico
DANTALIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4287512209;04/12/2020;2020-12-04;similar
DIAMICRON;LABORATÓRIOS SERVIER DO BRASIL LTDA;42.374.207/0001-76;4286738200;04/12/2020;2020-12-04;novo
UNI-CLONAZEPAX;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;4288912200;04/12/2020;2020-12-04;similar
fenitoína;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4286100204;04/12/2020;2020-12-04;generico
Cystadane;RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME;53.056.057/0001-79;4285725202;04/12/2020;2020-12-04;especifico
FRISIUM;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4292625204;04/12/2020;2020-12-04;novo
valproato de sódio;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4287728208;04/12/2020;2020-12-04;generico
DARAPRIM;FARMOQUÍMICA S/A;33.349.473/0001-58;4325006208;07/12/2020;2020-12-07;novo
DAONIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4319808202;07/12/2020;2020-12-07;novo
VIRINEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;4321157207;07/12/2020;2020-12-07;similar
SOLUÇÃO FISIOLÓGICA DE CLORETO DE SÓDIO;FRESENIUS MEDICAL CARE LTDA;1440590000136;4344628201;08/12/2020;2020-12-08;especifico
Uno-Ciclo;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;4339115200;08/12/2020;2020-12-08;similar
PASMODEX;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4339884207;08/12/2020;2020-12-08;similar
PARIET;JANSSEN - CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4346299205;08/12/2020;2020-12-08;novo
HYCAMTIN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;4338231202;08/12/2020;2020-12-08;novo
CLIZE;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;4344142204;08/12/2020;2020-12-08;similar
OROXADIN;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4354759201;09/12/2020;2020-12-09;novo
VITACID;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;4354377204;09/12/2020;2020-12-09;similar
MICOLAMINA;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;4354149206;09/12/2020;2020-12-09;similar
VITACID ACNE;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;4357187205;09/12/2020;2020-12-09;novo
APIDRA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4374461203;10/12/2020;2020-12-10;biologico
CLONAZEPAM;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;4374844209;10/12/2020;2020-12-10;generico
INICOX DP;FARMOQUÍMICA S/A;33.349.473/0001-58;4371625203;10/12/2020;2020-12-10;novo
CETOZOL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4381058206;11/12/2020;2020-12-11;similar
BIKTARVY;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;15.670.288/0001-89;4391843203;11/12/2020;2020-12-11;novo
RIFOCINA SPRAY;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;4389245201;11/12/2020;2020-12-11;novo
HOMATROPIN;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4381407207;11/12/2020;2020-12-11;similar
CASPACIL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;4382354208;11/12/2020;2020-12-11;similar
NACTALI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4383376204;11/12/2020;2020-12-11;similar
MALEATO DE LEVOMEPROMAZINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4417719204;14/12/2020;2020-12-14;generico
TEUTOVIT E;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;4422787206;14/12/2020;2020-12-14;especifico
BETADINE XR;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;4423200204;14/12/2020;2020-12-14;novo
HIPOFOL;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4417513202;14/12/2020;2020-12-14;especifico
DAKTARIN GEL ORAL;JANSSEN - CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4426502206;14/12/2020;2020-12-14;novo
Demi-D;FARMOQUÍMICA S/A;33.349.473/0001-58;4437107201;15/12/2020;2020-12-15;especifico
LUFTAGASTRO;RECKITT BENCKISER (BRASIL) LTDA;59.557.124/0001-15;4434050208;15/12/2020;2020-12-15;novo
POZATO UNI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;4449946209;16/12/2020;2020-12-16;novo
dacarbazina;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;4452581208;16/12/2020;2020-12-16;generico
CECLOR;EMS SIGMA PHARMA LTDA;923140000131;4452212206;16/12/2020;2020-12-16;similar
PEN-VE-ORAL;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4448317201;16/12/2020;2020-12-16;novo
HAEMOCOMPLETTAN P;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;4464108207;17/12/2020;2020-12-17;biologico
GESTRELAN;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;4466117207;17/12/2020;2020-12-17;similar
COR-SELECT;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;4481870200;18/12/2020;2020-12-18;similar
LACTASOL;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4479315204;18/12/2020;2020-12-18;especifico
ENEMA JP;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478643203;18/12/2020;2020-12-18;especifico
NORADREM;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4483739209;18/12/2020;2020-12-18;similar
ENALAMED;CIMED INDUSTRIA S.A;2814497000107;4483080207;18/12/2020;2020-12-18;similar
CLORETO DE SÓDIO JP FISIOLÓGICO;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478211200;18/12/2020;2020-12-18;especifico
Água para Irrigação;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478774200;18/12/2020;2020-12-18;especifico
Manitol 3%;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478733202;18/12/2020;2020-12-18;especifico
METRONIDAZOL;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4479322207;18/12/2020;2020-12-18;generico
GLICINA JP 1,5%;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478756201;18/12/2020;2020-12-18;especifico
BICARBONATO DE SÓDIO;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4479289201;18/12/2020;2020-12-18;especifico
ÁGUA PARA INJEÇÃO;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478493207;18/12/2020;2020-12-18;especifico
RINGER;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478041209;18/12/2020;2020-12-18;especifico
HALDOL DECANOATO;JANSSEN - CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4484880203;18/12/2020;2020-12-18;novo
JP MANITOL;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4477831207;18/12/2020;2020-12-18;especifico
JP FISIOLÓGICO;JP INDUSTRIA FARMACEUTICA S/A;55.972.087/0001-50;4478283207;18/12/2020;2020-12-18;especifico
