Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
prednisona;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;387668250;21/03/2025;;2025-03-21;;;novo_em_relatorio
UROHIPE;UNO HEALTHCARE COMÉRCIO DE MEDICAMENTOS LTDA.;13.109.151/0001-24;743698240;04/06/2024;;2024-06-04;;;novo_em_relatorio
cloridrato de fexofenadina;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1652389245;03/12/2024;;2024-12-03;;;novo_em_relatorio
letrozol;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1683975243;10/12/2024;;2024-12-10;;;novo_em_relatorio
EXELRING;EXELTIS LABORATORIO FARMACEUTICO LTDA;19.136.432/0001-52;1632048248;28/11/2024;;2024-11-28;;;novo_em_relatorio
LEXLER;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1652453245;03/12/2024;;2024-12-03;;;novo_em_relatorio
FENERGAN;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;1717361242;16/12/2024;;2024-12-16;;;novo_em_relatorio
desloratadina;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1006403256;05/08/2025;;2025-08-05;;;novo_em_relatorio
LEVOTAC;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;482875259;08/04/2025;;2025-04-08;;;novo_em_relatorio
BUPROVIL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1472092244;25/10/2024;;2024-10-25;;;novo_em_relatorio
ULTROX;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;836271246;19/06/2024;;2024-06-19;;;novo_em_relatorio
TAM;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;1245906241;10/09/2024;;2024-09-10;;;novo_em_relatorio
GUTTALAX;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;105272248;29/01/2024;;2024-01-29;;;novo_em_relatorio
GLOBOFLU;LABORATÓRIO GLOBO SA;17.115.437/0001-73;149813252;03/02/2025;;2025-02-03;;;novo_em_relatorio
Evkeeza;ULTRAGENYX BRASIL FARMACEUTICA LTDA;27.724.245/0001-18;517492253;15/04/2025;;2025-04-15;;;novo_em_relatorio
CALCORT;BLANVER FARMOQUIMICA E FARMACEUTICA S.A.;53.359.824/0001-19;20205244;08/01/2024;;2024-01-08;;;novo_em_relatorio
FABHALTA;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1194166253;09/09/2025;;2025-09-09;;;novo_em_relatorio
PABEXHY;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;360463258;18/03/2025;;2025-03-18;;;novo_em_relatorio
XAQUELIV;EMS S/A;57.507.378/0003-65;1743473249;20/12/2024;;2024-12-20;;;novo_em_relatorio
CREMEFENERGAN;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;233490256;19/02/2025;;2025-02-19;;;novo_em_relatorio
fosfato de sitagliptina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1448608244;22/10/2024;;2024-10-22;;;novo_em_relatorio
ONIVYDE;LABORATÓRIOS SERVIER DO BRASIL LTDA;42.374.207/0001-76;571168256;28/04/2025;;2025-04-28;;;novo_em_relatorio
EBGLYSS;ELI LILLY DO BRASIL LTDA;43.940.618/0001-44;782875254;10/06/2025;;2025-06-10;;;novo_em_relatorio
prednisona;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1039682243;30/07/2024;;2024-07-30;;;novo_em_relatorio
ALLENASAL;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;578741253;29/04/2025;;2025-04-29;;;novo_em_relatorio
DORFLEX;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;66247250;16/01/2025;;2025-01-16;;;novo_em_relatorio
CEFUROXIMA SÓDICA;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;44.639.493/0001-80;38654253;10/01/2025;;2025-01-10;;;novo_em_relatorio
ESTALIS;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;428524249;04/04/2024;;2024-04-04;;;novo_em_relatorio
SYLVANT;RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME;53.056.057/0001-79;179019252;07/02/2025;;2025-02-07;;;novo_em_relatorio
IROSÊ;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;165689251;06/02/2025;;2025-02-06;;;novo_em_relatorio
NUSIRA;ADIUM S.A.;55.980.684/0001-27;808328255;17/06/2025;;2025-06-17;;;novo_em_relatorio
CLORIDRATO DE AMBROXOL;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;01.858.973/0001-29;1070717258;14/08/2025;;2025-08-14;;;novo_em_relatorio
AGATHA;PFIZER BRASIL LTDA;61.072.393/0001-33;796226245;13/06/2024;;2024-06-13;;;novo_em_relatorio
TURNO XR;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1597136247;21/11/2024;;2024-11-21;;;novo_em_relatorio
cloridrato de fingolimode;CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA;18.268.051/0001-64;94666253;22/01/2025;;2025-01-22;;;novo_em_relatorio
desloratadina;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;1216237247;04/09/2024;;2024-09-04;;;novo_em_relatorio
CLORIDRATO DE AMBROXOL;BELFAR LTDA;18.324.343/0001-77;462310248;11/04/2024;;2024-04-11;;;novo_em_relatorio
ibuprofeno;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1472286243;25/10/2024;;2024-10-25;;;novo_em_relatorio
TAXOL;BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA;31.327.287/0001-92;360122248;22/03/2024;;2024-03-22;;;novo_em_relatorio
KELAC;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1666828246;05/12/2024;;2024-12-05;;;novo_em_relatorio
MUSKARD;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;1729689248;18/12/2024;;2024-12-18;;;novo_em_relatorio
dicloridrato de trimetazidina;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;385773242;27/03/2024;;2024-03-27;;;novo_em_relatorio
TRUQAP;ASTRAZENECA DO BRASIL LTDA;60.318.797/0001-00;340818255;13/03/2025;;2025-03-13;;;novo_em_relatorio
DIGLUSS;LABORATÓRIO GLOBO SA;17.115.437/0001-73;1153664259;28/08/2025;;2025-08-28;;;novo_em_relatorio
Prevenar® 20;PFIZER BRASIL LTDA;61.072.393/0001-33;1155989252;28/08/2025;;2025-08-28;;;novo_em_relatorio
VSIQQ;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;194756254;11/02/2025;;2025-02-11;;;novo_em_relatorio
VITAMINA D3;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;446086240;09/04/2024;;2024-04-09;;;novo_em_relatorio
HISCONGEX;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;576642258;29/04/2025;;2025-04-29;;;novo_em_relatorio
DESCON;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;576703257;29/04/2025;;2025-04-29;;;novo_em_relatorio
LADOGAL;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;262129248;04/03/2024;;2024-03-04;;;novo_em_relatorio
CLORIDRATO DE BROMEXINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;874491258;03/07/2025;;2025-07-03;;;novo_em_relatorio
Mevatyl;BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA;31.327.287/0001-92;1416701231;13/12/2023;;2023-12-13;;;novo_em_relatorio
MYALEPT;CHIESI FARMACÊUTICA LTDA;61.363.032/0001-46;867608251;02/07/2025;;2025-07-02;;;novo_em_relatorio
xinafoato de salmeterol + propionato de fluticasona;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;455182248;10/04/2024;;2024-04-10;;;novo_em_relatorio
bilastina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;503009253;11/04/2025;;2025-04-11;;;novo_em_relatorio
DUXXEN;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1141068249;20/08/2024;;2024-08-20;;;novo_em_relatorio
JANUMET;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;1425434240;17/10/2024;;2024-10-17;;;novo_em_relatorio
NATURETTI;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;917853253;15/07/2025;;2025-07-15;;;novo_em_relatorio
OLEPTAL;TORRENT DO BRASIL LTDA;33.078.528/0001-32;692344250;23/05/2025;;2025-05-23;;;novo_em_relatorio
TARBET;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;805018255;16/06/2025;;2025-06-16;;;novo_em_relatorio
Cherry;FARMOQUÍMICA S/A;33.349.473/0001-58;482873256;08/04/2025;;2025-04-08;;;novo_em_relatorio
CORUS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1149328258;27/08/2025;;2025-08-27;;;novo_em_relatorio
bissulfato de clopidogrel;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;347591256;14/03/2025;;2025-03-14;;;novo_em_relatorio
montelucaste de sódio;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;152458239;14/02/2023;;2023-02-14;;;novo_em_relatorio
XAB;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;673929256;19/05/2025;;2025-05-19;;;novo_em_relatorio
etodolaco;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;343031256;13/03/2025;;2025-03-13;;;novo_em_relatorio
APRETUDE;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;1367753244;04/10/2024;;2024-10-04;;;novo_em_relatorio
pitavastatina cálcica;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;863084257;01/07/2025;;2025-07-01;;;novo_em_relatorio
DAEM;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;822915235;07/08/2023;;2023-08-07;;;novo_em_relatorio
ALEKTOS PED;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;628163240;13/05/2024;;2024-05-13;;;novo_em_relatorio
bilastina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;411314254;26/03/2025;;2025-03-26;;;novo_em_relatorio
pitavastatina cálcica;EMS S/A;57.507.378/0003-65;347950256;14/03/2025;;2025-03-14;;;novo_em_relatorio
PREDSIGMA;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;645425257;13/05/2025;;2025-05-13;;;novo_em_relatorio
MENSYVA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1006743251;05/08/2025;;2025-08-05;;;novo_em_relatorio
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1085882250;15/08/2025;;2025-08-15;;;novo_em_relatorio
olmesartana medoxomila+besilato de anlodipino;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;916125254;14/07/2025;;2025-07-14;;;novo_em_relatorio
SONOZZZ;PROCTER & GAMBLE DO BRASIL LTDA.;59.476.770/0001-58;5052574223;14/12/2022;;2022-12-14;;;novo_em_relatorio
RUNNER EZE;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;385201257;21/03/2025;;2025-03-21;;;novo_em_relatorio
ANDRUM;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;161944230;16/02/2023;;2023-02-16;;;novo_em_relatorio
cloridrato de ondansetrona;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;122418255;28/01/2025;;2025-01-28;;;novo_em_relatorio
lamivudina + dolutegravir sódico;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;833487256;25/06/2025;;2025-06-25;;;novo_em_relatorio
TENSIOVAL;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1415272247;15/10/2024;;2024-10-15;;;novo_em_relatorio
TAVOK;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;297582259;05/03/2025;;2025-03-05;;;novo_em_relatorio
NEBACIDERME;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;61477257;15/01/2025;;2025-01-15;;;novo_em_relatorio
finasterida;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;630390258;09/05/2025;;2025-05-09;;;novo_em_relatorio
pregabalina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;356875253;17/03/2025;;2025-03-17;;;novo_em_relatorio
MELAZTE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1155746252;28/08/2025;;2025-08-28;;;novo_em_relatorio
mesilato de doxazosina;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;743542258;02/06/2025;;2025-06-02;;;novo_em_relatorio
CARBAMAZEPINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1408580241;14/10/2024;;2024-10-14;;;novo_em_relatorio
fosfato de sitagliptina + cloridrato de metformina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;712582258;27/05/2025;;2025-05-27;;;novo_em_relatorio
Trodelvy;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA;15.670.288/0001-89;1084510251;15/08/2025;;2025-08-15;;;novo_em_relatorio
ASSERT;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;838434258;26/06/2025;;2025-06-26;;;novo_em_relatorio
dasatinibe monoidratado;TEVA FARMACÊUTICA LTDA.;05.333.542/0001-08;53134257;14/01/2025;;2025-01-14;;;novo_em_relatorio
DESCON;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;571558259;28/04/2025;;2025-04-28;;;novo_em_relatorio
CORISTINA D CONGEST;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;571384251;28/04/2025;;2025-04-28;;;novo_em_relatorio
PRAALERGIA;CIMED INDUSTRIA S.A;02.814.497/0001-07;1659359244;04/12/2024;;2024-12-04;;;novo_em_relatorio
GUACONAT;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;2675510220;05/05/2022;;2022-05-05;;;novo_em_relatorio
NAXTRI;EMS S/A;57.507.378/0003-65;1161150242;23/08/2024;;2024-08-23;;;novo_em_relatorio
cloridrato de fingolimode;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;24.365.710/0001-83;891456244;01/07/2024;;2024-07-01;;;novo_em_relatorio
loratadina + sulfato de pseudoefedrina;EMS S/A;57.507.378/0003-65;789583241;12/06/2024;;2024-06-12;;;novo_em_relatorio
cetoconazol + dipropionato de betametasona + sulfato de neomicina;CELLERA FARMACÊUTICA S.A.;33.173.097/0002-74;989514242;19/07/2024;;2024-07-19;;;novo_em_relatorio
minoxidil;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;723495254;28/05/2025;;2025-05-28;;;novo_em_relatorio
IMPERE;EMS S/A;57.507.378/0003-65;571285252;28/04/2025;;2025-04-28;;;novo_em_relatorio
AZITROMICINA;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;24511251;08/01/2025;;2025-01-08;;;novo_em_relatorio
BRAVAN HCT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;195754255;12/02/2025;;2025-02-12;;;novo_em_relatorio
citrato de tamoxifeno;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1293136247;19/09/2024;;2024-09-19;;;novo_em_relatorio
levofloxacino hemihidratado;CELLERA FARMACÊUTICA S.A.;33.173.097/0002-74;463911253;04/04/2025;;2025-04-04;;;novo_em_relatorio
gliclazida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;631334254;09/05/2025;;2025-05-09;;;novo_em_relatorio
ONTRUZANT;Samsung Bioepis br Pharmaceutical ltda.;24.563.776/0001-88;341972258;13/03/2025;;2025-03-13;;;novo_em_relatorio
AGIOLAX;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;758212232;21/07/2023;;2023-07-21;;;novo_em_relatorio
LEGALON;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;1039999247;30/07/2024;;2024-07-30;;;novo_em_relatorio
apixabana;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;1455147249;23/10/2024;;2024-10-23;;;novo_em_relatorio
BONVIVA;Laboratórios Bagó do Brasil S/A;04.748.181/0009-47;645527246;15/05/2024;;2024-05-15;;;novo_em_relatorio
SINVALIP;EMS S/A;57.507.378/0003-65;548504253;23/04/2025;;2025-04-23;;;novo_em_relatorio
tacrolimo;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1194370250;09/09/2025;;2025-09-09;;;novo_em_relatorio
PROTEFIGAN SM;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;741568233;18/07/2023;;2023-07-18;;;novo_em_relatorio
atorvastatina cálcica;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;584665237;07/06/2023;;2023-06-07;;;novo_em_relatorio
SPIOLTO;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;58428259;15/01/2025;;2025-01-15;;;novo_em_relatorio
hidroclorotiazida;CIMED INDUSTRIA S.A;02.814.497/0001-07;285062255;28/02/2025;;2025-02-28;;;novo_em_relatorio
FLUITEÍNA;EMS S/A;57.507.378/0003-65;792158253;12/06/2025;;2025-06-12;;;novo_em_relatorio
RPHOSTEO;MJM PRODUTOS FARMACEUTICOS E DE RADIOPROTECAO S.A.;04.891.262/0001-44;1343488249;30/09/2024;;2024-09-30;;;novo_em_relatorio
VALPI;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;657392235;27/06/2023;;2023-06-27;;;novo_em_relatorio
Minel;ARESE PHARMA LTDA.;07.670.111/0001-54;248912241;29/02/2024;;2024-02-29;;;novo_em_relatorio
cloridrato de paroxetina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;540159255;22/04/2025;;2025-04-22;;;novo_em_relatorio
RIVAXA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;639629253;12/05/2025;;2025-05-12;;;novo_em_relatorio
MOMATE;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;906738253;10/07/2025;;2025-07-10;;;novo_em_relatorio
PEPSAMAR;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;192220250;11/02/2025;;2025-02-11;;;novo_em_relatorio
UNIREZ;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1135099243;19/08/2024;;2024-08-19;;;novo_em_relatorio
BIOVARIXON;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;767825250;06/06/2025;;2025-06-06;;;novo_em_relatorio
SOMATULINE AUTOGEL;BEAUFOUR IPSEN FARMACÊUTICA LTDA;07.718.721/0001-80;83708251;20/01/2025;;2025-01-20;;;novo_em_relatorio
RUDITE;EMS S/A;57.507.378/0003-65;1064427243;05/08/2024;;2024-08-05;;;novo_em_relatorio
SANCOL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;949269247;11/07/2024;;2024-07-11;;;novo_em_relatorio
AZENTEX;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1300714239;22/11/2023;;2023-11-22;;;novo_em_relatorio
PASSARE;EMS S/A;57.507.378/0003-65;1191815242;29/08/2024;;2024-08-29;;;novo_em_relatorio
FEIBA;TAKEDA PHARMA LTDA.;60.397.775/0001-74;539392251;22/04/2025;;2025-04-22;;;novo_em_relatorio
QUERA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;573796254;29/04/2025;;2025-04-29;;;novo_em_relatorio
cloridrato de metilfenidato;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;689077254;22/05/2025;;2025-05-22;;;novo_em_relatorio
SYSTEN SEQUI;FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;09.058.502/0001-48;1263697241;13/09/2024;;2024-09-13;;;novo_em_relatorio
TAXBAC;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;336776233;04/04/2023;;2023-04-04;;;novo_em_relatorio
PRIVYMTRA;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;1132768250;22/08/2025;;2025-08-22;;;novo_em_relatorio
pantoprazol sódico sesqui-hidratado;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1066421251;14/08/2025;;2025-08-14;;;novo_em_relatorio
albendazol;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;334009251;12/03/2025;;2025-03-12;;;novo_em_relatorio
SALONPAS GEL PATCH;HISAMITSU FARMACÊUTICA DO BRASIL LTDA;49.383.250/0001-47;604204230;14/06/2023;;2023-06-14;;;novo_em_relatorio
SYMDULOR SL;ADIUM S.A.;55.980.684/0001-27;605861242;07/05/2024;;2024-05-07;;;novo_em_relatorio
TAXONTAS;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;720668239;13/07/2023;;2023-07-13;;;novo_em_relatorio
besilato de anlodipino;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1438586248;18/10/2024;;2024-10-18;;;novo_em_relatorio
rosuvastatina calcica;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;349089230;06/04/2023;;2023-04-06;;;novo_em_relatorio
FIGMED;CIMED INDUSTRIA S.A;02.814.497/0001-07;4305198223;16/06/2022;;2022-06-16;;;novo_em_relatorio
LISADOR MUSCULAR;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;368207251;19/03/2025;;2025-03-19;;;novo_em_relatorio
CANCIDAS;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;215983238;03/03/2023;;2023-03-03;;;novo_em_relatorio
HYBLUT;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1155539257;28/08/2025;;2025-08-28;;;novo_em_relatorio
drosperinona + etinilestradiol;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;962194255;23/07/2025;;2025-07-23;;;novo_em_relatorio
cloridrato de naratriptana;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1737673240;19/12/2024;;2024-12-19;;;novo_em_relatorio
MOBALE;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;327253240;15/03/2024;;2024-03-15;;;novo_em_relatorio
rivaroxabana;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;688965253;22/05/2025;;2025-05-22;;;novo_em_relatorio
montelucaste sódico;CIMED INDUSTRIA S.A;02.814.497/0001-07;1162551259;01/09/2025;;2025-09-01;;;novo_em_relatorio
SOTYKTU;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;56.998.982/0001-07;355480247;21/03/2024;;2024-03-21;;;novo_em_relatorio
ALLESTRA CONTI;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1393130232;07/12/2023;;2023-12-07;;;novo_em_relatorio
cloridrato de sertralina;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1207129259;11/09/2025;;2025-09-11;;;novo_em_relatorio
PREDNISOLONA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;584785259;30/04/2025;;2025-04-30;;;novo_em_relatorio
BREZTRI AEROSPHERE;ASTRAZENECA DO BRASIL LTDA;60.318.797/0001-00;1006602259;05/08/2025;;2025-08-05;;;novo_em_relatorio
GABANEURIN;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1768156247;27/12/2024;;2024-12-27;;;novo_em_relatorio
etoricoxibe;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1184196257;05/09/2025;;2025-09-05;;;novo_em_relatorio
AVIANT EFE;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;789105233;28/07/2023;;2023-07-28;;;novo_em_relatorio
ATENSINA;Mawdsleys Pharmaceuticals do Brasil Ltda;19.501.429/0001-90;1187927252;08/09/2025;;2025-09-08;;;novo_em_relatorio
nitazoxanida;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;172634253;07/02/2025;;2025-02-07;;;novo_em_relatorio
IMPLANON;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;693995254;23/05/2025;;2025-05-23;;;novo_em_relatorio
AGLITIL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1189886251;08/09/2025;;2025-09-08;;;novo_em_relatorio
SCEMBLIX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;462351254;03/04/2025;;2025-04-03;;;novo_em_relatorio
cloridrato de donepezila;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;844779253;27/06/2025;;2025-06-27;;;novo_em_relatorio
albendazol;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;4586214228;22/08/2022;;2022-08-22;;;novo_em_relatorio
OMENAX;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4283860221;10/06/2022;;2022-06-10;;;novo_em_relatorio
Blugrip Pelargonium;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;115671234;03/02/2023;;2023-02-03;;;novo_em_relatorio
olmesartana medoxomila;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;923915257;16/07/2025;;2025-07-16;;;novo_em_relatorio
LYBERDIA GOTAS;EMS S/A;57.507.378/0003-65;1192079248;29/08/2024;;2024-08-29;;;novo_em_relatorio
RUNNER;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;949054241;11/07/2024;;2024-07-11;;;novo_em_relatorio
