Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
desonida;EMS S/A;57.507.378/0003-65;19904258;07/01/2025;;2025-01-07;;;novo_em_relatorio
BETNOVATE N;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;1481716247;29/10/2024;;2024-10-29;;;novo_em_relatorio
cloridrato de verapamil;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;321172221;25/01/2022;;2022-01-25;;;novo_em_relatorio
TENOXICAM;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;251140253;21/02/2025;;2025-02-21;;;novo_em_relatorio
diclofenaco resinato;EMS S/A;57.507.378/0003-65;1560559241;13/11/2024;;2024-11-13;;;novo_em_relatorio
meloxicam;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;4548446222;12/08/2022;;2022-08-12;;;novo_em_relatorio
IMUNO BCG;FUNDACAO ATAULPHO DE PAIVA;33.485.939/0001-42;647084150;22/07/2015;;2015-07-22;;;novo_em_relatorio
BENICAR HCT;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;531171256;17/04/2025;;2025-04-17;;;novo_em_relatorio
VASTAREL;LABORATÓRIOS SERVIER DO BRASIL LTDA;42.374.207/0001-76;1390197247;09/10/2024;;2024-10-09;;;novo_em_relatorio
HIZOFITO;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;08.939.548/0001-03;133351178;03/01/2023;;2023-01-03;;;novo_em_relatorio
CLORIDRATO DE TRAMADOL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1730639241;18/12/2024;;2024-12-18;;;novo_em_relatorio
MALEATO DE DEXCLORFENIRAMINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1459718241;23/10/2024;;2024-10-23;;;novo_em_relatorio
NAC;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;677898258;20/05/2025;;2025-05-20;;;novo_em_relatorio
RESFENOL;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;218586256;17/02/2025;;2025-02-17;;;novo_em_relatorio
VYTORIN;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;499045254;11/04/2025;;2025-04-11;;;novo_em_relatorio
PREDNISONA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;124584241;01/02/2024;;2024-02-01;;;novo_em_relatorio
cloridrato de ranitidina;FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;06.628.333/0001-46;2121734203;02/07/2020;;2020-07-02;;;novo_em_relatorio
CLORIDRATO DE NAFAZOLINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1205445234;03/11/2023;;2023-11-03;;;novo_em_relatorio
ATENOLOL;EMS S/A;57.507.378/0003-65;856684252;30/06/2025;;2025-06-30;;;novo_em_relatorio
BACFAR;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;83.874.628/0001-43;1137534249;20/08/2024;;2024-08-20;;;novo_em_relatorio
FOSFATO DISSÓDICO DE DEXAMETASONA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1476472246;28/10/2024;;2024-10-28;;;novo_em_relatorio
RESFEDRYL;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;243902255;20/02/2025;;2025-02-20;;;novo_em_relatorio
TYLALGIN CAF;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;730733254;29/05/2025;;2025-05-29;;;novo_em_relatorio
Propionato de clobetasol;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1347325247;01/10/2024;;2024-10-01;;;novo_em_relatorio
Cloridrato de diltiazem;EMS S/A;57.507.378/0003-65;1017241252;07/08/2025;;2025-08-07;;;novo_em_relatorio
NEOCAINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1133194231;20/10/2023;;2023-10-20;;;novo_em_relatorio
PROPIONATO DE CLOBETASOL;EMS S/A;57.507.378/0003-65;428816258;28/03/2025;;2025-03-28;;;novo_em_relatorio
PROPIONATO DE CLOBETASOL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1347361243;01/10/2024;;2024-10-01;;;novo_em_relatorio
POZATO UNI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1536818241;07/11/2024;;2024-11-07;;;novo_em_relatorio
SULFATO DE POLIMIXINA B;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1163538256;01/09/2025;;2025-09-01;;;novo_em_relatorio
ZIAGENAVIR;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;1182128254;05/09/2025;;2025-09-05;;;novo_em_relatorio
LORAX;PFIZER BRASIL LTDA;61.072.393/0001-33;676452248;21/05/2024;;2024-05-21;;;novo_em_relatorio
cloridrato de paroxetina;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;705467252;24/05/2025;;2025-05-24;;;novo_em_relatorio
cloridrato de ambroxol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1635005248;29/11/2024;;2024-11-29;;;novo_em_relatorio
AMOXICILINA + CLAVULANATO DE POTASSIO;EMS S/A;57.507.378/0003-65;1012717259;06/08/2025;;2025-08-06;;;novo_em_relatorio
ALBEL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1585741248;19/11/2024;;2024-11-19;;;novo_em_relatorio
KURAMED;CIMED INDUSTRIA S.A;02.814.497/0001-07;876218257;03/07/2025;;2025-07-03;;;novo_em_relatorio
VALPROATO DE SODIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;228837251;18/02/2025;;2025-02-18;;;novo_em_relatorio
SECNIDAZOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;3765745219;23/09/2021;;2021-09-23;;;novo_em_relatorio
DIGOXINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;681692251;21/05/2025;;2025-05-21;;;novo_em_relatorio
ANNITA;FARMOQUÍMICA S/A;33.349.473/0001-58;683251244;22/05/2024;;2024-05-22;;;novo_em_relatorio
LORITIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;3148134195;14/11/2019;;2019-11-14;;;novo_em_relatorio
BIBAG;FRESENIUS MEDICAL CARE LTDA;01.440.590/0001-36;1504355245;01/11/2024;;2024-11-01;;;novo_em_relatorio
CLORIDRATO DE CIPROFLOXACINO;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;4316231;03/01/2023;;2023-01-03;;;novo_em_relatorio
PROPIONATO DE CLOBETASOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;552471259;24/04/2025;;2025-04-24;;;novo_em_relatorio
TOBRAMINA;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;1443200215;15/04/2021;;2021-04-15;;;novo_em_relatorio
CEFALEXINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;224039245;26/02/2024;;2024-02-26;;;novo_em_relatorio
CLORIDRATO DE DOBUTAMINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1563462249;13/11/2024;;2024-11-13;;;novo_em_relatorio
PÍLULAS DE ERVA DE BICHO COMPOSTAS IMESCARD;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;1476512248;28/10/2024;;2024-10-28;;;novo_em_relatorio
EPIVIR;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;706440242;27/05/2024;;2024-05-27;;;novo_em_relatorio
BICARBONATO DE SÓDIO - FARMACE;FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;06.628.333/0001-46;214653242;23/02/2024;;2024-02-23;;;novo_em_relatorio
