"disease","disease_label","alt_label"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Harlequin Baby Syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Harlequin Fetus"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Harlequin Ichthyosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyoses, Lamellar"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyosiform Erythroderma, Nonbullous Congenital"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyosis Congenita"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyosis Congenita I"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyosis Congenita II"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Ichthyosis, Lamellar, 1"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Lamellar Exfoliation of Newborn"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Lamellar Ichthyoses"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Lamellar Ichthyosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Lamellar Ichthyosis, Type 1"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Nonbullous Congenital Ichthyosiform Erythroderma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10032","Ichthyosis, Lamellar","Nonbullous Congenital Lamellar Ichthyosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10034","Hyperpigmentation","Hypermelanosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10034","Hyperpigmentation","Post-Inflammatory Hyperpigmentation"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10035","Hypopigmentation","Hypomelanosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10036","Hidradenitis Suppurativa","Acne Inversa"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10036","Hidradenitis Suppurativa","Hidradenitides, Suppurative"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10036","Hidradenitis Suppurativa","Hidradenitis, Suppurative"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10036","Hidradenitis Suppurativa","Suppurative Hidradenitides"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10036","Hidradenitis Suppurativa","Suppurative Hidradenitis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10038","Pyoderma Gangrenosum",
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10039","Lichenoid Eruptions","Licheniform Eruptions"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10044","Aneurysm, False","False Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10044","Aneurysm, False","Pseudoaneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10045","Aneurysm, Ruptured","Ruptured Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10047","Aortic Aneurysm, Abdominal","Abdominal Aorta Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10047","Aortic Aneurysm, Abdominal","Abdominal Aortic Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10047","Aortic Aneurysm, Abdominal","Aneurysm, Abdominal Aorta"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10047","Aortic Aneurysm, Abdominal","Aneurysm, Abdominal Aortic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10048","Aortic Aneurysm, Thoracic","Aneurysm, Thoracic Aorta"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10048","Aortic Aneurysm, Thoracic","Aneurysm, Thoracic Aortic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10048","Aortic Aneurysm, Thoracic","Thoracic Aorta Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10048","Aortic Aneurysm, Thoracic","Thoracic Aortic Aneurysm"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Diffuse Parenchymal Lung Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Diffuse Parenchymal Lung Diseases"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Interstitial Lung Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Interstitial Lung Diseases"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Pneumonia, Interstitial"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10050","Lung Diseases, Interstitial","Pneumonitis, Interstitial"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10051","Radiation Pneumonitis","Pneumonia, Radiation"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10051","Radiation Pneumonitis","Pneumonitis, Radiation"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10051","Radiation Pneumonitis","Radiation Pneumonia"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10052","Sarcoidosis, Pulmonary","Pulmonary Sarcoidosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10054","Focal Epithelial Hyperplasia","Focal Epithelial Hyperplasia, Oral"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10054","Focal Epithelial Hyperplasia","Heck Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10054","Focal Epithelial Hyperplasia","Heck's Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10054","Focal Epithelial Hyperplasia","Hyperplasia, Focal Epithelial"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10057","Hyperandrogenism",
