"idActiveIngredient","nameActiveIngredient","atcCode","umlsCUI","umlsTUI","therapeuticClass","prefLabel","altLabel"
"http://healdb.org/rdf-schema#AI_1699","LAURIL SULFATO DE SÓDIO","http://purl.bioontology.org/ontology/ATC/A06AD13","C0074769","T197","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/A07EA03","C0032952","T109","http://purl.bioontology.org/ontology/ATC/A07EA","Corticosteroids acting locally",
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/A07EA03","C0032952","T121","http://purl.bioontology.org/ontology/ATC/A07EA","Corticosteroids acting locally",
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/A07EA03","C0032952","T125","http://purl.bioontology.org/ontology/ATC/A07EA","Corticosteroids acting locally",
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/H02AB07","C0032952","T109","http://purl.bioontology.org/ontology/ATC/H02AB","Glucocorticoids, Systemic","Glucocorticoids"
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/H02AB07","C0032952","T121","http://purl.bioontology.org/ontology/ATC/H02AB","Glucocorticoids, Systemic","Glucocorticoids"
"http://healdb.org/rdf-schema#AI_170","PREDNISONA","http://purl.bioontology.org/ontology/ATC/H02AB07","C0032952","T125","http://purl.bioontology.org/ontology/ATC/H02AB","Glucocorticoids, Systemic","Glucocorticoids"
"http://healdb.org/rdf-schema#AI_1700","SORBITOL 70 %","http://purl.bioontology.org/ontology/ATC/A06AD18","C0037688","T109","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
"http://healdb.org/rdf-schema#AI_1700","SORBITOL 70 %","http://purl.bioontology.org/ontology/ATC/A06AD18","C0037688","T121","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
"http://healdb.org/rdf-schema#AI_1700","SORBITOL 70 %","http://purl.bioontology.org/ontology/ATC/A06AG07","C0037688","T109","http://purl.bioontology.org/ontology/ATC/A06AG","Enema for Constipation","Enemas"
"http://healdb.org/rdf-schema#AI_1700","SORBITOL 70 %","http://purl.bioontology.org/ontology/ATC/A06AG07","C0037688","T121","http://purl.bioontology.org/ontology/ATC/A06AG","Enema for Constipation","Enemas"
